"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"RED";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"H1";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"H2";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"H4";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";
"J1";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"CONN-11443";"";"PRT-08612";"";
"J2";"";"CONN_06NO_SILK_NO_POP";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"JP2";"LED";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";"";"";
"Q1";"1.1A/60V/600mΩ";"MOSFET_PCH-SI2309DS";"SOT23-3";"P-channel MOSFETs";"";"TRANS-08285";"";"";"1.1A/60V/600mΩ";
"R1";"16.2k";"16.2KOHM-0603-1/10W-1%";"0603";"16.2kΩ resistor";"";"RES-12187";"";"";"16.2k";
"R2";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"RES-07853";"";"";"22k";
"R3";"93.1k";"93.1KOHM";"0603";"93.1kΩ resistor";"";"RES-14393";"";"";"93.1k";
"R4";"124k";"124KOHM";"0603";"124kΩ resistor";"";"RES-14395";"";"";"124k";
"R5";"169K";"169KOHM";"0603";"169kΩ resistor";"";"RES-14394";"";"";"169K";
"R6";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"1k";
"R7";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";" ";"";"";" ";
"R8";" ";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Generic Resistor Package";"";" ";"";"";" ";
"S1";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"MOMENTARY-SWITCH-SPST-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-14139";"";"";"";
"SW1";"DIP-06";"DIP-06";"DIPSWITCH-06-SMD";"";"";"--------";"";"";"";
"U1";"TPL5110";"TPL5110";"SOT23-6";"TPL5110 Nano-Power System Timer for Power Gating";"";"IC-14387";"";"";"";
