"Part";"Value";"Device";"Package";"Description";"BOM";
"B1";"CR1220";"BATTERYCR1220_2";"CR1220-2";"CR1220 SMT - Digikey: 3001K-ND";"";
"C1";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID3";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"IC1";"DS3231/SO";"DS3231/SO";"SO16W";"";"";
"JP1";"";"HEADER-1X16ROUND";"1X16_ROUND";"PIN HEADER";"";
"JP2";"";"HEADER-1X3ROUND";"1X03_ROUND";"PIN HEADER";"";
"JP3";"";"HEADER-1X1ROUND";"1X01_ROUND";"PIN HEADER";"";
"JP4";"";"HEADER-1X11";"1X11_ROUND";"";"";
"JP5";"";"HEADER-1X1ROUND";"1X01_ROUND";"PIN HEADER";"";
"MS1";"MICROSHIELD_NODIM";"MICROSHIELD_NODIM";"MICROSHIELD_DIM";"";"";
"R1";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R2";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"SW1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";
