"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"FRAME1";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"N. Seidle";"";"";"v02";
"JP1";"UL";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP2";"UR";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP3";"LL";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP4";"LR";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP5";"";"M05PTH";"1X05";"Header 5";"";"";"";"";
"JP6";"RJ45";"RJ45-8PTH";"RJ45-8";"RJ45 Jack";"";"CONN-08506";"RJ45";"";
"JP7";"";"M03PTH";"1X03";"Header 3";"";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"U$7";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";
