"Part";"Value";"Device";"Package";"Description";"PROD_ID";
"C1";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C2";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C3";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C4";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C5";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C6";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C7";"0.22uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C8";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C9";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C10";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C11";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"D1";"MBRA140";"DIODESMA";"SMA-DIODE";"Diode";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"J1";"AVR Prog.";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";
"JP1";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"LED1";"Red";"LED0603";"LED-0603";"LEDs";"";
"LED2";"Green";"LED0603";"LED-0603";"LEDs";"";
"LOGO1";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"R1";"1K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R2";"1K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R3";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R4";"100k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R5";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R6";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R7";"2.2k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R8";"100k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R9";"100k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R10";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R11";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R12";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R13";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"S2";"12mm Button";"SWITCH-MOMENTARY-2SMD-12MM";"TACTILE-SMD-12MM";"Various NO switches- pushbuttons, reed, etc";"";
"U1";"FT232RLSSOP";"FT232RLSSOP";"SSOP28DB";"USB UART";"";
"U2";"ATMEGA328";"ATMEGA168";"TQFP32-08";"";"";
"U3";"2.5mm";"AUDIO-JACK1:1";"STEREOJACK2.5MM";"3.5mm Audio Jack";"";
"U4";"2.5mm";"AUDIO-JACK1:1";"STEREOJACK2.5MM";"3.5mm Audio Jack";"";
"U5";"2.5mm";"AUDIO-JACK1:1";"STEREOJACK2.5MM";"3.5mm Audio Jack";"";
"U6";"2.5mm";"AUDIO-JACK1:1";"STEREOJACK2.5MM";"3.5mm Audio Jack";"";
"U7";"TEMT6000";"TEMT6000";"TEMT6000-SEN";"Ambient Light Sensor";"";
"U8";"LMV358";"LMV358";"SO08";"";"";
"U9";"MIC9.7MM";"MIC9.7MM";"MIC-9.7MM";"Microphone";"";
"U10";"";"SLIDER60MM";"SLIDER";"Slide-type potentiometers.";"RES-09484";
"X1";"USBSMD";"USBSMD";"USB-MINIB";"USB Connectors";"";
"Y1";"16MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";
