"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"BAT1";"20mm coincell";"BATTERY20MM_4LEGS";"BATTCON_20MM_4LEGS";"Battery Holders";"BATT-10373";"20mm coincell";
"BAT2";"20mm coincell";"BATTERY20MM_4LEGS";"BATTCON_20MM_4LEGS";"Battery Holders";"BATT-10373";"20mm coincell";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"RAW";"M03ALT_ORDER";"1X03_NO_SILK";"Header 3";"";"";
"JP2";"PROCESSED";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";
"LOGO2";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";
