"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"C1";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"CAP-07876";"";"";"22pF";
"C2";"22pF";"22PF-50V-5%(0603)";"0603-CAP";"CAP-07876";"CAP-07876";"";"";"22pF";
"C3";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"";"";"10uF";
"C4";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"";"";"10uF";
"C5";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"";"";"10uF";
"C6";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"";"";"1.0uF";
"C7";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"";"";"1.0uF";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C9";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"CAP-11015";"";"";"10uF";
"C10";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"CAP-11015";"";"";"10uF";
"C11";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"";"";"10nF";
"C12";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"";"";"10nF";
"C13";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"CAP-11015";"";"";"10uF";
"C14";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"CAP-07888";"";"";"2.2uF";
"C15";"47nF";"47NF(0.047UF/47000PF)-25V-5%(0603)SMD";"0603-CAP";"CAP-08605";"CAP-08605";"";"";"47nF";
"C16";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"D1";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"DIO-00821";"";"";"GREEN";
"D2";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"";"RED";
"D3";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"";"RED";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"H1";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"#4 Stand Off";"";"";"";"";
"H2";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"#4 Stand Off";"";"";"";"";
"H3";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"#4 Stand Off";"";"";"";"";
"J1";"Audio Jack";"AUDIO-JACKSMD2";"AUDIO-JACK-3.5MM-SMD";"3.5mm Audio Jack";"CONN-10353";"";"";"";
