"Part";"Value";"Device";"Package";"Description";"BOM";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";
"C2";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";
"C4";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";
"D1";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";
"D2";"YELLOW";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";
"D3";"GREEN";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";
"FID1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"FID2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"FID3";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"FID4";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";
"ON/OFF";"EG1390";"DPDT-EG1390";"EG1390";"";"";"";"";"";"";
"R1";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R2";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R3";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"R7";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";
"SJ1";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";"";
"T2";"DMG3415U";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"unknown";"unknown";
"U$9";"RASPBERRYPI_2X5";"RASPBERRYPI_2X5";"RASPBERRYPI_2X5_THMSMT";"";"";"";"";"";"";
"U$18";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"EXCLUDE";"";"";"";"";
"U1";"CP2104";"CP2104";"QFN24_4MM_SMSC";"CP2104 - USB to UART Bridge";"";"";"";"";"";
"X1";"20329";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"USB Connectors";"";"";"";"";"";
