"Part";"Value";"Device";"Package";"Description";"BOM";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C2";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"JP1";"";"HEADER-1X570MIL";"1X05_ROUND_70";"PIN HEADER";"";
"JP2";"";"HEADER-1X1ROUND";"1X01_ROUND";"PIN HEADER";"";
"JP3";"";"HEADER-1X970MIL";"1X09_ROUND_70";"PIN HEADER";"";
"R1";"100K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R2";"100K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R3";"100K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"U1";"RFM69HCW";"RFM69HCW_SMT";"RFMHCW_SMT";"RFM69HCW - ISM Band RF Transceiver";"";
"U2";"74HC4050D";"74HC4050DTSSOP";"TSSOP16";"6-channel level shifter";"";
"U3";"AP2112K-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";
"X1";"uFL/SMA";"SMACONNECTOR_EDGE_UFL";"SMA_EDGELAUNCH_UFL";"SMA Connector";"";
