"Part";"Value";"Device";"Package";"Description";"PLACE";"SIZE";"TOL";
"C1";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"JP1";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";"";
"JP2";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";"";
"JP5";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";"";
"JP6";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";"";
"JP7";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";
"LOGO3";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";"";"";
"R1";"10";"RESISTOR1206";"1206";"Resistor";"";"1206";"1%";
"R2";"10k";"RESISTOR0603";"0603-RES";"Resistor";"";"";"1%";
"R3";"";"RESISTORPTH-2W";"AXIAL-0.8";"Resistor";"DNP";"";"";
"R4";"";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"DNP";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"U1";"INA169";"INA169";"SOT23-5";"";"";"";"";
