"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"VALUE";
"C1";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"CAP-11015";"";"";"10uF";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"C3";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"CAP-07822";"";"";"0.22uF";
"C4";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"1.0uF";
"C5";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"1.0uF";
"C6";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"CAP-07822";"";"";"0.22uF";
"C7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"C9";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"1.0uF";
"C16";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"1.0uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"RED";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"J1";"MICRO-SD";"MICRO-SD_CARD_SOCKETPUSH-PUSH";"MICRO-SD-SOCKET";"microSD Socket for Transflash";"";"CONN-07820";"";"";"";
"J2";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"";
"J3";"PTH";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun I2C Standard Pinout Header";"";"";"";"";"";
"J4";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"";
