"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"SF_SKU";"VALUE";
"BYP";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"C3";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"CAP-00811";"";"";"";"10uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"C5";"47uF";"47UF-POLAR-PANASONIC_D-35V-20%";"PANASONIC_D";"47µF polarized capacitors";"";"CAP-08478";"";"";"";"47uF";
"C6";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"CAP-00811";"";"";"";"10uF";
"C7";"10pF";"10PF-0603-50V-5%";"0603";"10pF ceramic capacitors";"";"CAP-11812";"";"";"";"10pF";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"C9";"10pF";"10PF-0603-50V-5%";"0603";"10pF ceramic capacitors";"";"CAP-11812";"";"";"";"10pF";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"C12";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"C15";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"CAP-00811";"";"";"";"10uF";
"C16";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"";"1.0uF";
"C17";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"CAP-00867";"";"";"";"10nF";
"C18";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"0.1uF";
"D1";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"DIO-08053";"";"";"";"1A/40V/500mV";
"D2";"GREEN";"LED-GREENLILYPAD";"LED-1206";"Green SMD LED";"";"DIO-09910";"";"";"";"GREEN";
"D3";"YELLOW";"LED-YELLOW_HIDDENSILK";"LED-1206-HIDDENSILK";"Yellow SMD LED";"";"DIO-09909";"";"";"";"YELLOW";
"F2";"6V/2A";"PPTC_6V2A";"1210";"Resettable Fuse PPTC";"";"RES-14313";"";"";"";"6V/2A";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";
"IC3";"LM1117";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"VREG-08170";"";"";"";"";
"J1";"DNP";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J2";"ISP";"AVR_SPI_PROG_3X2SMD";"2X3_SMT_POSTS";"AVR ISP 6 Pin";"";"CONN-11415";"";"";"";"";
"J3";"5.5x2.1mm Barrel";"POWER_JACKSMD";"POWER_JACK_SMD";"Power Jack Connector";"";"CONN-08106";"";"PRT-12748";"";"5.5x2.1mm Barrel";
"J4";"QWIIC_RIGHT_ANGLE";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"";"QWIIC_RIGHT_ANGLE";
"J5";"USB Female Type C Connector";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"USB Type C 16Pin Connector";"";"CONN-14122";"";"";"";"";
"JP1";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";"";"";"";
"JP2";"";"CONN_10SMD_COMBO-FEMALE";"1X10_SMD_COMBINED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-11219";"";"";"";"";
"JP3";"STAND-OFFTIGHT";"STAND-OFFTIGHT";"STAND-OFF-TIGHT";"Stand Off";"";"";"";"";"";"";
