"Part";"Value";"Device";"Package";"Description";"PROD_ID";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP1";"Power";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";
"JP2";"Power";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";
"JP3";"3.5mm Jack";"AUDIO-JACKSMD2";"AUDIO-JACK-3.5MM-SMD";"3.5mm Audio Jack";"CONN-10353";
"JP4";"Power";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";
"JP5";"Power";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";
"JP6";"Power";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";
"LOGO1";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SFE Logo, flame only";"";
"LOGO2";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
