"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C2";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"4.7uF";
"C3";"47uF";"47UF-10V-10%(TANT)";"EIA3528";"CAP-08310";"CAP-08310";"47uF";
"C4";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C5";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"4.7uF";
"C6";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C7";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C9";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"C10";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C11";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C12";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C13";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C14";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"D1";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"DIO-09003";"";
"D2";"RED";"LED-RED1206";"LED-1206";"Assorted Red LEDs";"DIO-00809";"RED";
"D4";"";"DIODESOD";"SOD-323";"Diode";"DIO-09646";"";
"D5";"";"DIODESOD";"SOD-323";"Diode";"DIO-09646";"";
"F1";"PTCSMD";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";
"F2";"PTCSMD";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"J1";"AVR_SPI_PRG_6NS";"AVR_SPI_PRG_6NS";"2X3-NS";"AVR ISP 6 Pin";"";"";
"JP1";"LiPo";"M02-JST-2MM-SMT";"JST-2-SMD";"Standard 2-pin 0.1" header. Use with";"CONN-08352";"";
"JP2";"";"M03SMD_RA_FEMALE";"1X03_SMD_RA_FEMALE";"Header 3";"CONN-10926";"1x3 RA Female .1"";
"JP3";"";"M04SMD_STRAIGHT_COMBO";"1X04_SMD_STRAIGHT_COMBO";"Header 4";"";"";
"LED1";"White";"LED-WHITE";"LED-1206";"White SMD LEDs";"DIO-09955";"WHITE";
"LED2";"White";"LED-WHITE";"LED-1206";"White SMD LEDs";"DIO-09955";"WHITE";
"LED3";"White";"LED-WHITE";"LED-1206";"White SMD LEDs";"DIO-09955";"WHITE";
"LED4";"White";"LED-WHITE";"LED-1206";"White SMD LEDs";"DIO-09955";"WHITE";
"LED5";"White";"LED-WHITE";"LED-1206";"White SMD LEDs";"DIO-09955";"WHITE";
"LED6";"Red";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"LED7";"Green";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"Q1";"MOSFET-N";"MOSFET-NCHANNELBSS138";"SOT23";"Common NMOSFET Parts";"TRANS-00830";"";
"Q2";"MOSFET-P";"MOSFET-PCHANNEL";"SOT23-3";"Generic PMOSFET";"TRANS-08285";"";
"R1";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R2";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R3";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R4";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R5";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R6";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R7";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R8";"300";"300OHM-1/10W-1%(0603)";"0603-RES";"RES-10328";"RES_10328";"300";
"R9";"300";"300OHM-1/10W-1%(0603)";"0603-RES";"RES-10328";"RES_10328";"300";
"R10";"300";"300OHM-1/10W-1%(0603)";"0603-RES";"RES-10328";"RES_10328";"300";
"R11";"300";"300OHM-1/10W-1%(0603)";"0603-RES";"RES-10328";"RES_10328";"300";
"R12";"300";"300OHM-1/10W-1%(0603)";"0603-RES";"RES-10328";"RES_10328";"300";
"R13";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R14";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R15";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R17";"300";"300OHM-1/10W-1%(0603)";"0603-RES";"RES-10328";"RES_10328";"300";
"R19";"100";"100OHM1/10W1%(0603)";"0603-RES";"RES-07863";"RES-07863";"100";
