"Part";"Value";"Device";"Package";"Description";"BOM";"CODE-ARDUINO";"DATASHEET";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"MANUFACTURER";"MANUFACTURER-PN";"VALUE";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C2";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C4";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C5";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C6";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"D7";"";"LED_RGB_PLCC63535";"RGBLED_3535_PLCC6";"RGB LED";"";"";"";"";"";"";"";"";
"IC3";"74AHC1G125";"74AHC1G125";"SOT23-5L";"";"";"";"";"";"";"";"";"";
"IC4";"ATECCX08";"ATECCX08";"SOIC8_150MIL";"";"";"";"";"";"";"";"";"";
"JP2";"";"HEADER-1X14";"1X14_ROUND70";"";"";"";"";"";"";"";"";"";
"JP4";"";"HEADER-1X14";"1X14_ROUND70";"";"";"";"";"";"";"";"";"";
"R1";"1K";"RESISTOR_4PACK_NO";"RESPACK_4X0603_NO";"Resistor Packs (4 resistors)";"";"";"";"";"";"";"";"";
"R2";"10K";"RESISTOR_4PACK_NO";"RESPACK_4X0603_NO";"Resistor Packs (4 resistors)";"";"";"";"";"";"";"";"";
"SJ6";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";"";"";"";"";"";"";
"SJ7";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";"";"";"";"";"";"";
"SJ8";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";"";"";"";"";"";"";
"SW2";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";"";"";"";"";
"U$34";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";"";"";
"U$35";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";"";"";
"U5";"NINA-W102";"NINA-W10X-102NINA-W10X";"ARDUINO-UCS&SOCS_NINA-W1X";"uBlox NINA-W10X ESP32 WiFi/BLE module";"";"2205";"https://www.u-blox.com/sites/default/files/NINA-W1_DataSheet_%28UBX-17006694%29.pdf";"https://www.digikey.com/product-detail/en/u-blox-america-inc/NINA-W102/672-1070-1-ND/7931820";"672-1070-1-ND";"Ublocks";"NINA-W102";"NINA-W102";
