"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C2";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C3";"1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C4";"22pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C5";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C7";"DNP";"CAP_POLEN_J2";"EN_J2";"Capacitor Polarized";"";
"D1";"BAS16";"DIODESOD";"SOD-323";"Diode";"";
"JP1";"MAIN";"M04PTH";"1X04";"Header 4";"";
"JP2";"MISC";"M04PTH";"1X04";"Header 4";"";
"JP3";"SPI";"M04PTH";"1X04";"Header 4";"";
"JP4";"AUX";"M04PTH";"1X04";"Header 4";"";
"JP5";"SMA_EDGE";"SMA_EDGE";"SMA-EDGE";"SMA Antenna Connector";"";
"JP6";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"JP7";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";
"L1";"33nH";"INDUCTOR0402";"C0402";"Inductors";"";
"LED1";"Red";"LED0603";"LED-0603";"LEDs";"";
"LOGO1";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";
"LOGO2";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";
"LOGO3";"LOGO-SFENW2";"LOGO-SFENW2";"SFE-NEW-WEB";"Spark Fun Electronics PCB Logo";"";
"R1";"33k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R2";"10k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R3";"330";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R4";"330";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R6";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R7";"0";"GND-JUMP";"GND-JUMP";"Zero-Ohm trace for connecting different ground planes at a single point.";"";
"SJ1";"BTS";"SOLDERJUMPER_2WAYPASTE2&3";"SJ_3_PASTE2&3";"Solder Jumper";"";
"SJ2";"PSE";"SOLDERJUMPER_2WAYPASTE2&3";"SJ_3_PASTE2&3";"Solder Jumper";"";
"SJ3";"BAT";"SOLDERJUMPERNC";"SJ_2S";"Solder Jumper";"";
"U$4";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"U$5";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"";"";
"U1";"VENUS638FLPX-L";"VENUS638FLPX-L";"VENUS638FLPX";"Venus638FLPX-L GPS Receiver";"";
