"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY_PART";"MANU_PART";"PROD_ID";"REV";"VALUE";
"0X2A";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";
"0X2B";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";
"0X2C";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";
"C2";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"CAP-13930";"";"1.0uF";
"C3";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-08604";"";"0.1uF";
"C4";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"CAP-08604";"";"0.1uF";
"C5";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"CAP-00868";"";"1.0uF";
"C6";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"CAP-00868";"";"1.0uF";
"C7";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"";"CAP-13930";"";"1.0uF";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";
"J1";"MICROMOD_FUNCTION_STANDARD";"MICROMOD_FUNCTION_STANDARD";"M.2-CARD-E-22_FUNCTION_STANDARD";"MicroMod Connector";"";"";"";"";"";"";
"JP1";"JUMPER-SMT_3_2-NC_TRACE_SILK";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";"";
"LED1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"DIO-00819";"";"RED";
"LOGO1";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SparkFun Font Logo w/ Flame";"";"";"";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";
"LOGO3";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";"";"";
"PWR\";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";
"R1";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"RES-07857";"";"4.7k";
"R2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"RES-07857";"";"4.7k";
"R3";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"RES-07856";"";"1k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"RES-00824";"";"10k";
"R5";"3.3k";"3.3KOHM-0603-1/10W-1%";"0603";"3.3kΩ resistor";"";"";"";"RES-07851";"";"3.3k";
"R6";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"RES-07856";"";"1k";
"R7";"4.7";"4.7OHM-0603-1/10W-1%";"0603";"4.7Ω resistor";"";"";"";"RES-15581";"";"4.7";
"R12";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"RES-07828";"";"100k";
"U1";"SGP40";"SGP40";"SGP40";"The SGP40 is a digital gas sensor designed for easy";"";"1649-SGP40-D-R4CT-ND";"";"IC-15580";"";"SGP40";
"U2";"EEPROM";"EEPROM-I2C512K";"SO08";"I2C EEPROMs, 24LC256 and others";"";"";"";"IC-14645";"";"";
"U3";"SHTC3";"SHTC3";"SHTC3";"Sensirion SHTC3 Humidity Sensor";"";"";"";"IC-14840";"";"SHTC3";
"U4";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"VREG-12457";"";"3.3V";
"U5";"STC31";"STC31";"STC31";"STC31 CO2 Sensor Based on Thermal Conductivity";"";"";"STC31-R3";"IC-16076";"";"";
