"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"D2";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"";"DIO-08199";"3.6V";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"Joel Bartlett";"";"";"v10";
"J1";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J2";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J3";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";
"LOGO3";"REVISION";"REVISION";"REVISION";""Revision By" Text";"";"";"";"";
"Q1";"2N3904";"TRANSISTOR_NPNMMBT2222A";"SOT23-3@1";"Generic NPN BJT";"";"TRANS-08049";"MMBT2222A";"";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"10k";"";
"R2";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"RES-07863";"100";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
