"Part";"Value";"Device";"Package";"Description";"BTM_NEG";"BTM_POS";"PROD_ID";"TOP_NEG";"TOP_POS";"VALUE";
"C1";"1.0uF";"1.0UF50V10%(1206)";"1206-CAP";"CAP-09822";"";"";"CAP-09822";"";"";"1.0uF";
"C2";"10uF";"10UF10V10%(0805)";"0805-CAP";"CAP-11330";"";"";"CAP-11330";"";"";"";
"C3";"10uF";"10UF10V10%(0805)";"0805-CAP";"CAP-11330";"";"";"CAP-11330";"";"";"";
"C4";"0.47uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"CAP-13216";"";"";"";
"C5";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"CAP-00868";"";"";"1.0uF";
"D1";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"";"";"DIO-08575";"";"";"BLUE";
"D2";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"";"DIO-00819";"";"";"RED";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";
"JP1";"USB-AB-MICRO-SMD_V03";"USB-ABCONN-11794";"USB-AB-MICRO-SMD_V03";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"";"";"CONN-11794";"";"";"";
"JP2";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";
"JP3";"";"M023.5MM-NO_SILK";"SCREWTERMINAL-3.5MM-2-NS";"Standard 2-pin 0.1" header. Use with";"";"";"CONN-08399";"";"";"";
"JP4";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";
"JP5";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";
"JP6";"";"JST_2MM_MALE";"JST-2-SMD";"Mates to single-cell LiPo batteries.";"-";"+";"CONN-11443";"-";"+";"";
"JP7";"";"M023.5MM-NO_SILK";"SCREWTERMINAL-3.5MM-2-NS";"Standard 2-pin 0.1" header. Use with";"";"";"CONN-08399";"";"";"";
"JP8";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";
"JP9";"";"M02-JST-2-PTH-NO_SILK";"JST-2-PTH-NS";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";
"JP10";"";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun has standardized on a pinout for all I2C based sensor breakouts.";"";"";"";"";"";"";
"JP11";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";
"JP12";"";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";"";"";"";
"JP13";"";"M01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Header 1";"";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SFE Logo, name only";"";"";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";"";"";
"LOGO3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";"";"";
"R1";"TS";"RESISTORPTH-1/6W";"1/6W-RES";"Resistor";"";"";"";"";"";"";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"";"";"10K";
"R3";"TMR";"RESISTORPTH-1/6W";"1/6W-RES";"Resistor";"";"";"";"";"";"";
"R4";"ISET";"RESISTORPTH-1/6W";"1/6W-RES";"Resistor";"";"";"";"";"";"";
"R5";"590";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"RES-13217";"";"";"";
"R6";"ILIM";"RESISTORPTH-1/6W";"1/6W-RES";"Resistor";"";"";"";"";"";"";
"R7";"1.1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"RES-10447";"";"";"";
"R8";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"RES-07828";"";"";"100k";
"R9";"180";"180OHM1/10W1%(0603)";"0603-RES";"RES-08788";"";"";"RES-08788";"";"";"180";
"R10";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"";"RES-07856";"";"";"1K";
"R11";"0.01";"RESISTOR1206";"1206";"Resistor";"";"";"RES-13218";"";"";"";
"R12";"100k";"100KOHM-1/10W-1%(0603)";"0603-RES";"RES-07828";"";"";"RES-07828";"";"";"100k";
"R13";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"";"RES-07857";"";"";"4.7K";
"R14";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"";"";"RES-07857";"";"";"4.7K";
"R15";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"";"";"10K";
"R16";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"";"";"10K";
"R17";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"";"";"10K";
"S1";"RIGHT_ANGLE_SLIDE_SWITCH_SMD";"SWITCH-SPDT-SMD-A";"SWITCH-SPST-SMD-A";"SPDT Switch";"";"";"SWCH-10651";"";"";"";
"S2";"SW_DIP-2_SMD";"SW_DIP-2-SMT-HALFSIZE";"DIPSWITCH-02-50MIL";"DIP SWITCH";"";"";"SWCH-13215";"";"";"";
"SJ1";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";"";
"SJ2";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";"";
"SJ3";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";"";
"SJ4";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";"";
"SJ5";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";
"TP1";"";"TEST-POINT3X4";"PAD.03X.04";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";"";
"TP2";"";"TEST-POINT3X4";"PAD.03X.04";"Bare copper test points for troubleshooting or ICT";"";"";"";"";"";"";
