"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"C1";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"CAP-12416";"";"0.1uF";
"C2";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"";"10uF";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"J1";"";"CONN_06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Header 6";"CONN-08437";"";"";
"J2";"";"CONN_06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Header 6";"CONN-08437";"";"";
"JP2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"JP6";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";
"LOGO1";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";"";
"LOGO2";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";"";
"R1";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"RES-07857";"";"4.7k";
"R2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"RES-07857";"";"4.7k";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"SJ1";"";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";
"SJ2";"";"JUMPER-PAD-3-NC_BY_TRACE";"PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"U$1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";
"U1";"LIS3DH";"LIS3DH";"LGA-16-3X3";"ST Microelectronics LIS3DH 3-Axis +/-2/4/8/16g SPI/I2C Accelerometer";"IC-13419";"N/A";"";
