"Part";"Value";"Device";"Package";"Description";"COEFF";"PROD_ID";"TOL";"VALUE";
"AE1";"ANTENNA22500AT44M0400";"ANTENNA22500AT44M0400";"ANTENNA-CHIP_2500AT44M0400";"Chip antenna";"";"";"";"";
"C1";"10uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C2";"10uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C3";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"C4";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C5";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";
"C6";"10pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"C0G";"";"5%";"";
"C7";"2.2pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"C0G";"";"10%";"";
"C8";"DNP";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";
"D1";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"";"DIO-00821";"";"GREEN";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"J1";"U.FL";"U.FL";"U.FL";"SMD antenna connector- WRL-09144";"";"";"";"";
"JP1";"Debug";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP2";"";"M08NO_SILK";"1X08_NO_SILK";"Header 8";"";"";"";"";
"JP3";"M10NO_SILK";"M10NO_SILK";"1X10_NO_SILK";"Header 10";"";"";"";"";
"JP4";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";"";"";
"JP5";"";"M04PTH";"1X04";"Header 4";"";"";"";"";
"L1";"DNP";"INDUCTOR0603";"0603";"Inductors";"";"";"";"";
"L2";"2.2nH";"INDUCTOR0603";"0603";"Inductors";"";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
"LOGO2";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";"";"";
"LOGO3";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";"";"";"";
"R1";"240";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";
"R2";"390";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";
"R3";"390";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";
"R4";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";
"R5";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";
"S1";"RESET";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"Momentary Switch";"";"SWCH-08247";"";"";
"SJ1";"Mode";"SOLDERJUMPER_2WAYPASTE1&2";"SJ_3_PASTE1&2";"Solder Jumper";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"U1";"LM1117";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"";"";"";
"U2";"ARDUINO_R3_SHIELDNOLABELS";"ARDUINO_R3_SHIELDNOLABELS";"UNO_R3_SHIELD_NOLABELS";"Shield form compatible with the Arduino Uno R3.";"";"";"";"";
"U3";"74HC4050";"HEX_CONVERTER";"SO016";"Just what it says.";"";"";"";"";
"U4";"USD-SOCKETNEW";"USD-SOCKETNEW";"MICRO-SD-SOCKET-PP";"microSD Socket";"";"";"";"";
"U5";"CC3000";"CC3000";"QFN-46_CC3000";"TI CC3000 WiFi Module";"";"";"";"";
"U6";"74AHC1G125";"74AHC1G125";"SOT23-5";"Single bus buffer gate with 3-state output";"";"";"";"";
