"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"B1";"ARDUINO_UNO_R3_SHIELDNOLABELS";"ARDUINO_UNO_R3_SHIELDNOLABELS";"UNO_R3_SHIELD_NOLABELS";"Arduino R3 Shield Footprint";"";"";"";"";
"C1";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"";"1.0uF";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C3";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"";"1.0uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C5";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"CAP-08280";"";"";"4.7uF";
"C6";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"CAP-08280";"";"";"4.7uF";
"C7";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"CAP-08280";"";"";"4.7uF";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C9";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"CAP-00867";"";"";"10nF";
"C10";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"CAP-07881";"";"";"15pF";
"C11";"68pF";"68PF-0603-50V-5%";"0603";"68pF ceramic capacitors";"CAP-14092";"";"";"68pF";
"C12";"100uF";"100UF-POLAR-1206-6.3V-20%";"1206-POLAR";"100µF polarized capacitors";"CAP-14093";"";"";"100uF";
"C13";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"C14";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"CAP-08913";"";"";"47pF";
"C15";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"CAP-07881";"";"";"15pF";
"C16";"DNP";"27PF-0603-50V-5%";"0603";"27pF ceramic capacitors";"CAP-09989";"";"";"27pF";
"C17";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"CAP-08913";"";"";"47pF";
"C18";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"CAP-08913";"";"";"47pF";
"C19";"0";"0OHM-0603-1/10W-5%";"0603";"0Ω resistor";"RES-08609";"";"";"0";
"C20";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"CAP-08913";"";"";"47pF";
"D1";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"";"DIO-14084";"";"";"";
"D2";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"";"";"Yellow";
"D3";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"DIO-11623";"";"";"1A/23V/620mV";
"D4";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"";"RED";
"D5";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"";"";"BLUE";
"D6";"DT1042-04SO-7";"TVS_DIODE_ARRAY_4DT1042-04SO-7";"SOT23-6L";"";"DIO-14095";"";"";"";
"E1";"MOLEX-146200";"ANTENNA-GROUNDEDMOLEX-146200";"MOLEX_146200";"Antenna w/ Ground Connection";"ANT-14096";"";"";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"J1";"";"USB_MICRO-B_HALF_PTH_MILL";"USB-MICROB-PTH-MILL";"USB Type Micro-B Connector";"CONN-13711";"";"";"";
"J2";"";"JST_2MM_MALESMD";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"CONN-11443";"PRT-08612";"";"";
"J3";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"CONN-13694";"";"";"";
"J4";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
