"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"B1";"6.8MM_COIN_CELL";"BATTERY-6.8MM_SMD";"BATTCON-6.8MM";"Battery - Single Cell";"BATT-13734";"";"6.8MM_COIN_CELL";
"C1";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"CAP-08913";"";"47pF";
"C3";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"1.0uF";
"C4";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"1.0uF";
"C5";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"";"0.1uF";
"C6";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"1.0uF";
"D1";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"";"Yellow";
"D2";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diode";"DIO-10955";"";"0.5A/40V/420mV";
"D3";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"DIO-00821";"";"GREEN";
"D4";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"";"BLUE";
"D5";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"";"";"";"";
"FB1";"30Ω/1.8A";"FERRITE_BEAD-0603";"0603";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"NDUC-13805";"";"30Ω/1.8A";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";
"J1";"";"CONN_07NO_SILK";"1X07_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"J2";"";"I2C_STANDARDQWIIC";"1X04_1MM_RA";"SparkFun I2C Standard Pinout Header";"CONN-13694";"";"Qwiic Right Angle";
"J3";"PTH";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SparkFun I2C Standard Pinout Header";"";"";"";
"J4";"";"I2C_STANDARDQWIIC";"1X04_1MM_RA";"SparkFun I2C Standard Pinout Header";"CONN-13694";"";"Qwiic Right Angle";
"J6";"";"USB_MICRO-B_HALF_PTH_MILL";"USB-MICROB-PTH-MILL";"USB Type Micro-B Connector";"CONN-13711";"";"";
"J13";"U.FL";"U.FL2PIN";"U.FL";"SMD Antenna Connector - U.FL";"CONN-09193";"WRL-09144";"U.FL";
