"Part";"Value";"Device";"Package";"Description";"PROD_ID";"TP_SIGNAL_NAME";"VALUE";
"3/5V";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";
"APWR";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";"";
"C1";".1uF";"0.1UF-100V-10%(0603)";"0603-CAP";"CAP-08390";"CAP-08390";"";"0.1uF";
"C2";"1uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"";"1.0uF";
"C6";".1uf";"0.1UF-100V-10%(0603)";"0603-CAP";"CAP-08390";"CAP-08390";"";"0.1uF";
"C7";".1uf";"0.1UF-100V-10%(0603)";"0603-CAP";"CAP-08390";"CAP-08390";"";"0.1uF";
"C8";".1uf";"0.1UF-100V-10%(0603)";"0603-CAP";"CAP-08390";"CAP-08390";"";"0.1uF";
"C9";".1uf";"0.1UF-100V-10%(0603)";"0603-CAP";"CAP-08390";"CAP-08390";"";"0.1uF";
"C10";".22uF";"0.22UF50V-20%,+80%(0603)";"0603-CAP";"CAP-09885";"CAP-09885";"";"0.22uF";
"C11";".1uf";"0.1UF-100V-10%(0603)";"0603-CAP";"CAP-08390";"CAP-08390";"";"0.1uF";
"C14";"47uF";"47UF-50V-20%(ELECT)";"PANASONIC_D";"CAP-10547";"CAP-10547";"";"";
"D1";"B340A-13-F";"DIODE-DO-214AC";"DO-214AC";"DIODE";"";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"IC1";"A4988ALT1";"A4988ALT1";"QFN-28-5MM_ALT1";"DMOS Microstepping Driver with Translator";"IC-11483";"";"";
"IC2";"LM317L";"SPARKFUN03_30_09_V_REG_317SOT89SOT89";"SCHMALZHAUS_SOT89";"Voltage Regulator";"";"";"";
"JP1";"";"M02PTH";"1X02";"Header 2";"";"";"";
"JP3";"";"M04PTH";"1X04";"Header 4";"";"";"";
"JP5";"";"M04SCREW_LOCK";"SCREWTERMINAL-3.5MM-4_LOCK";"Header 4";"";"";"";
"JP6";"";"M02PTH";"1X02";"Header 2";"";"";"";
"JP7";"";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Header 2";"";"";"";
"JP8";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"JP9";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
"JP10";"";"M04PTH";"1X04";"Header 4";"";"";"";
"JP11";"";"M04SCREW_LOCK";"SCREWTERMINAL-3.5MM-4_LOCK";"Header 4";"";"";"";
"JP12";"";"M04SCREW_LOCK";"SCREWTERMINAL-3.5MM-4_LOCK";"Header 4";"";"";"";
"JP13";"";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Header 2";"";"";"";
