"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"A4/18";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"Sew Taps for LilyPad Boards.";"";"";
"A5/19";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"Sew Taps for LilyPad Boards.";"";"";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C2";"2.2uF";"2.2UF-10V-20%(0603)";"0603-CAP";"CAP-07888";"CAP-07888";"2.2uF";
"C4";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"10nF";
"C9";"22uF";"22UF-6.3V-20%(0805)";"0805";"CAP-08402";"CAP-08402";"22uF";
"C10";"22uF";"22UF-6.3V-20%(0805)";"0805";"CAP-08402";"CAP-08402";"22uF";
"D1";"BAT20JFILM";"BAT20JFILM";"SOD-323";"23V, 1A Schottky diode, SOD-323 package";"DIO-11623";"BAT20JFILM";
"D2";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"DIO-08575";"BLUE";
"D4";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"FID1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"LiPo";"M02-JST-2MM-SMT";"JST-2-SMD";"Standard 2-pin 0.1" header. Use with";"CONN-11443";"";
"JP2";"";"ARDUINO_SERIAL_PROGRAMSMD";"1X06-SMD";"FTDI connector footprints";"CONN-08971";"";
"LOGO1";"SFE_LOGO_FLAME.1COP";"SFE_LOGO_FLAME.1COP";"SFE_LOGO_FLAME_COPPER_.1";"SFE Logo, flame only";"";"";
"LOGO2";"OSHW-LOGOS-COPPER";"OSHW-LOGOS-COPPER";"OSHW-LOGO-S_COPPER";"Open Source Hardware Logo";"";"";
"R1";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R3";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R4";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R5";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R9";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"S2";"DPDT";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"SWCH-08179";"DPDT";
"S3";"Reset";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"SWCH-08247";"";
"U$1";"LOGO-LPL";"LOGO-LPL";"LOGO-L";"";"";"";
"U$2";"LOGO-LPLP";"LOGO-LPLP";"LOGO-LILYPAD";"";"";"";
"U$4";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"Sew Taps for LilyPad Boards.";"";"";
"U$35";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"Sew Taps for LilyPad Boards.";"";"";
"U$37";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"Sew Taps for LilyPad Boards.";"";"";
"U$39";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"Sew Taps for LilyPad Boards.";"";"";
"U$41";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"Sew Taps for LilyPad Boards.";"";"";
"U$43";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"Sew Taps for LilyPad Boards.";"";"";
"U$45";"SEWTAP9";"SEWTAP9";"PETAL-LONG-1-2SIDE";"Sew Taps for LilyPad Boards.";"";"";
"U1";"ADP160";"ADP160";"SOT23-5";"Nanopower LDO";"VREG-11306";"ADP160";
"U2";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"IC-09995";"";
"U3";"RFD77101";"RFD77101";"RFD77101";"Simblee ™ BLE Module RFD77101";"COMP-13017";"";
