"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";
"I2C";"";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";
"J1";"Qwiic Right Angle";"I2C_STANDARDQWIIC";"1X04_1MM_RA";"SparkFun I2C Standard Pinout Header";"CONN-13694";"Qwiic Right Angle";
"J2";"";"CONN_08NO_SILK_FEMALE_PTH";"1X08_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08438";"";
"J3";"";"CONN_10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-11563";"";
"J4";"";"CONN_06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08437";"";
"J6";"";"CONN_07NO_SILK";"1X07_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J8";"Qwiic Right Angle";"I2C_STANDARDQWIIC";"1X04_1MM_RA";"SparkFun I2C Standard Pinout Header";"CONN-13694";"Qwiic Right Angle";
"J9";"Qwiic Right Angle";"I2C_STANDARDQWIIC";"1X04_1MM_RA";"SparkFun I2C Standard Pinout Header";"CONN-13694";"Qwiic Right Angle";
"J10";"Qwiic Right Angle";"I2C_STANDARDQWIIC";"1X04_1MM_RA";"SparkFun I2C Standard Pinout Header";"CONN-13694";"Qwiic Right Angle";
"LOGO1";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";
"LOGO2";"REVISION";"REVISION";"REVISION";""Revision By" Text";"";"";
"LOGO3";"QWIIC_LOGO_6MM";"QWIIC_LOGO_6MM";"QWIIC_6MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";
"Q1";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"TRANS-00830";"200mA/50V";
"Q2";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"TRANS-00830";"200mA/50V";
"R1";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"RES-07857";"4.7k";
"R2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"RES-07857";"4.7k";
"R3";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"RES-07857";"4.7K";
"R4";"4.7K";"4.7KOHM-1/10W-1%(0603)";"0603-RES";"RES-07857";"RES-07857";"4.7K";
"U$2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";
"U$3";"QWIIC_BOARD_OUTLINEH";"QWIIC_BOARD_OUTLINEH";"QWIIC_BOARD_MOUNT_HOLES";"Standard Outline of a Qwiic Board. Good for defining a spot on shields and board areas in which to mount a Qwiic Board.";"";"";
"U1";"ARDUINO UNO";"ARDUINO_R3_SHIELDNOLABELS";"UNO_R3_SHIELD_NOLABELS";"Shield form compatible with the Arduino Uno R3.";"";"";
