"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C2";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C4";"10pF";"10PF-50V-5%(0603)";"0603-CAP";"CAP-11812";"CAP-11812";"10pF";
"C5";"10pF";"10PF-50V-5%(0603)";"0603-CAP";"CAP-11812";"CAP-11812";"10pF";
"C6";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"10nF";
"D1";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"DIO-00821";"GREEN";
"D2";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"Yellow";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";
"J1";"microB";"USB-MICROB"";"USB-B-MICRO-SMD_V03";"";"CONN-11752";"";
"J2";"";"M06SMD-FEMALE-V2";"1X06-SMD-FEMALE-V2";"Header 6";"CONN-09668";"";
"JP1";"";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"JP3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"JP4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"JP5";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"JP6";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";
"LOGO2";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";
"LOGO3";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";
"R2";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R3";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"U1";"AP2112-3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"VREG-12457";"3.3V";
"U2";"CH340G";"CH340GSMD";"SO016";"A simple USB 2.0 to Serial IC.";"IC-13498";"CH340G";
"U4";"74LVC1G08SE";"7408";"SOT353";"Single AND gate";"IC-10841";"74LVC1G08SE";
"Y2";"12MHz";"CRYSTAL-GROUNDED3.2X2.5";"CRYSTAL-SMD-3.2X2.5";"Small, 3.2x2.5mm, SMD Crystal";"XTAL-13518";"12MHz";
