"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";".01uF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"CAP-00867";"10nF";
"D1";"BAS16";"DIODESOD";"SOD-323";"Diode";"DIO-09646";"";
"FID1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"POWER & OUTPUT";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";
"LOGO1";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";
"LOGO2";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";
"LOGO3";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"LOGO4";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"Q1";"MMBT3906";"TRANSISTOR_PNPMMBT3906";"SOT23";"Generic PNP BJT";"TRANS-08052";"MMBT3906";
"R1";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R2";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R3";"1meg";"1M-1%";"0603-RES";"1M-ohm SMT";"RES-07868";"1M";
"R4";"100";"100OHM1/10W1%(0603)";"0603-RES";"RES-07863";"RES-07863";"100";
"R5";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R6";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R7";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R8";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R9";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R10";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R11";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R12";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R13";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R14";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R15";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R16";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R17";"1k";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"S1";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-09185";"";
"S2";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-09185";"";
"S3";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-09185";"";
"S4";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-09185";"";
"S5";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-09185";"";
"S6";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-09185";"";
"S7";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-09185";"";
"S8";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-09185";"";
"S9";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-09185";"";
"S10";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-09185";"";
"S11";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-09185";"";
"S12";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches- pushbuttons, reed, etc";"SWCH-09185";"";
"S13";"STANDOFF_ELECTRICAL";"STANDOFF_ELECTRICAL";"STANDOFF-ELECTRICAL";"A standoff intended to be an electrically connected point.";"";"";
"S14";"STANDOFF_ELECTRICAL";"STANDOFF_ELECTRICAL";"STANDOFF-ELECTRICAL";"A standoff intended to be an electrically connected point.";"";"";
"S15";"STANDOFF_ELECTRICAL";"STANDOFF_ELECTRICAL";"STANDOFF-ELECTRICAL";"A standoff intended to be an electrically connected point.";"";"";
"S16";"STANDOFF_ELECTRICAL";"STANDOFF_ELECTRICAL";"STANDOFF-ELECTRICAL";"A standoff intended to be an electrically connected point.";"";"";
"U1";"LMV358";"LMV358";"SO08";"Jellybean rail-to-rail output op-amp";"IC-09657";"";
