"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C3";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"4.7uF";
"C4";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"4.7uF";
"D11";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"JST";"JST_2MM_MALE";"JST-2-SMD";"Mates to single-cell LiPo batteries.";"CONN-08352";"";
"JP2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"JP3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"JP4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"JP8";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";
"JP9";"Micro USB";"USB-ABCONN-11794";"USB-AB-MICRO-SMD_V03";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"CONN-11794";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"LOGO2";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";
"R1";"";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";"";
"R3";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R4";"2.0k";"2.0KOHM1/10W5%(0603)";"0603-RES";"RES-08296";"RES-08296";"2.0k";
"U1";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"IC-09995";"";
