"Part";"Value";"Device";"Package";"Description";"BOM";
"C1";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C2";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C3";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C4";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C5";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C6";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C7";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C8";"10µF";"CAP_CERAMIC0805_10MGAP";"0805_10MGAP";"Ceramic Capacitors";"";
"C9";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C10";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C11";"10uF";"CAP_CERAMIC0805_10MGAP";"0805_10MGAP";"Ceramic Capacitors";"";
"C13";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C14";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C15";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"CHG";"ORANGE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"D1";"3.6V";"DIODE-ZENERSOD323";"SOD-323";"Zener Diode";"";
"D2";"3.6V";"DIODE-ZENERSOD323";"SOD-323";"Zener Diode";"";
"D4";"MBR120";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";
"I2C";"JST PH 4";"STEMMA_I2C_RASMT";"JSTPH4";"";"";
"IC4";"LIS3DH";"ACCEL_LIS3DHTR";"LGA16_3X3MM";"LIS3DHTR 3-Axis Accelerometer with I2C/SPI Interface";"";
"L";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"LED1";"WS2812B3535";"WS2812B3535";"LED3535";"";"";
"MS1";"FEATHERWING_SMTDUALNOHOLES";"FEATHERWING_SMTDUALNOHOLES";"FEATHERWING_SMT_NOHOLES";"";"";
"NEOPIXEL";"JST PH 3";"CON_JST_PH_3PIN";"JSTPH3";"";"";
"PIR";"JST PH 3";"CON_JST_PH_3PIN";"JSTPH3";"";"";
"Q1";"DMG341";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";
"Q2";"DMG341";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";
"Q3";"BSS138";"MOSFET-NWIDE";"SOT23-WIDE";"N-Channel Mosfet";"";
"R1";"100K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";
"R2";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R3";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R4";"10K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";
"R5";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R6";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R7";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R8";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R9";"10K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";
"R12";"100";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R13";"100";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"SJ1";"";"SOLDERJUMPER_2WAY";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";"2-Way Solder Jumper";"";
"SW1";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SMT 6mm switch, EVQQ2 series";"";
"SW2";"Slide Switch";"SWITCH_DPDTEG1390";"EG1390";"Switch - DPDT";"";
"TFT";"DISP_LCD_ST7735_1.44IN";"DISP_LCD_ST7735_1.44IN";"TFT_1.44IN_128_128";"";"";
"TP1";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"Test Point";"";
"TP2";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"Test Point";"";
"TP3";"SEWTAP_ALLILONG";"SEWTAP_ALLILONG";"PCB_ALLI_LONG";"";"";
"TP4";"SEWTAPPCB_ALLIGATOR";"SEWTAPPCB_ALLIGATOR";"PCB_ALLI";"";"";
"TP5";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"Test Point";"";
"TP28";"SEWTAPPCB_ALLIGATOR";"SEWTAPPCB_ALLIGATOR";"PCB_ALLI";"";"";
"TP29";"SEWTAP_ALLILONG";"SEWTAP_ALLILONG";"PCB_ALLI_LONG";"";"";
"U$4";"ATSAMD21G18_QFN";"ATSAMD21G_QFN";"TQFN48_7MM";"";"";
"U$13";"CON_MOLEX_2P";"CON_MOLEX_2P";"53398-0271";"";"";
"U$31";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";
"U$32";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";
"U$34";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"U$35";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"U1";"2MB Flash";"SPIFLASH_8PIN208MIL";"SOIC8_208MIL";"SOIC8 SPI Flash";"";
"U2";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";
"U3";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";
"U4";"ALS-PT21";"PHOTOTRANSISTOR_PT26-21C";"ALS-PT26-21C";"ALS-PT19-315C - Analog Light Sensor";"";
"U5";"PAM8302AASCR";"AUDIOAMP_PAM8302A";"MSOP8_0.65MM";"PAM8302A - 2.5W Class-D Mono Audio Amplifier";"";
"VR2";"10K trim";"TRIMPOT3303W/X";"TRIMPOT_BOURNS_3303W";"3-Pin SMT Trimpots";"";
"X1";"JSTPH";"CON_JST_PH_2PIN";"JSTPH2";"JST 2-Pin Right-Angle Connector";"";
"X3";"microUSB";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"USB Connectors";"";
"X6";"CON_JST_PH_2PIN_MTPH2";"CON_JST_PH_2PIN_MTPH2";"JSTPH2";"";"";
