"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"B1";"ESP32_THING";"ESP32_THING";"ESP32_THING";"SparkFun ESP32 Thing Board";"";"DEV-13907";"";
"C1";"33nF";"33NF-0603-50V-10%";"0603";"33nF ceramic capacitors";"CAP-07887";"";"33nF";
"C2";"33nF";"33NF-0603-50V-10%";"0603";"33nF ceramic capacitors";"CAP-07887";"";"33nF";
"C3";"33nF";"33NF-0603-50V-10%";"0603";"33nF ceramic capacitors";"CAP-07887";"";"33nF";
"C4";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"CAP-09824";"";"10uF";
"C5";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"CAP-09824";"";"10uF";
"C6";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"CAP-09824";"";"10uF";
"C7";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"CAP-08390";"";"0.1uF";
"C8";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"CAP-08390";"";"0.1uF";
"C9";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"CAP-08390";"";"0.1uF";
"C10";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"CAP-08390";"";"0.1uF";
"C11";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"CAP-08390";"";"0.1uF";
"C12";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"1.0uF";
"C13";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"1.0uF";
"C14";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"1.0uF";
"C15";"Ext.";"100UF-POLAR-RADIAL-2.5MM-25V-20%";"CPOL-RADIAL-2.5MM-6.5MM";"100µF polarized capacitors";"CAP-08439";"";"100uF";
"C16";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"CAP-09824";"";"10uF";
"C17";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"CAP-08390";"";"0.1uF";
"C18";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"CAP-08390";"";"0.1uF";
"D1";"1N4001";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"";"1A/50V/1.1V";
"D2";"1N4001";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"";"1A/50V/1.1V";
"D3";"1N4001";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"";"1A/50V/1.1V";
"D4";"1N4001";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"";"1A/50V/1.1V";
"D5";"1N4001";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"";"1A/50V/1.1V";
"D6";"1N4001";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"";"1A/50V/1.1V";
"D7";"1N4001";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"";"1A/50V/1.1V";
"D8";"1N4001";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"";"1A/50V/1.1V";
"D9";"1N4001";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"";"1A/50V/1.1V";
"D10";"1N4001";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"";"1A/50V/1.1V";
"D11";"1N4001";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"";"1A/50V/1.1V";
"D12";"1N4001";"DIODE-PTH";"DIODE-1N4001";"Diode";"DIO-09176";"";"1A/50V/1.1V";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";
