"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"SF_ID";"SKU";"VALUE";"VERSION";
"C1";"1.0uF";"1.0UF-16V-10%(0402)";"0402-CAP";"";"";"CAP-12417";"";"";"1.0uF";"";
"C2";"1.0uF";"1.0UF-16V-10%(0402)";"0402-CAP";"";"";"CAP-12417";"";"";"1.0uF";"";
"C3";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C4";"1.0uF";"1.0UF-16V-10%(0402)";"0402-CAP";"";"";"CAP-12417";"";"";"1.0uF";"";
"C5";"1.0uF";"1.0UF-16V-10%(0402)";"0402-CAP";"";"";"CAP-12417";"";"";"1.0uF";"";
"C6";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C7";"1.0uF";"1.0UF-16V-10%(0402)";"0402-CAP";"";"";"CAP-12417";"";"";"1.0uF";"";
"C9";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C11";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C12";"";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"";"";"";
"C13";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C14";"";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"";"";"";
"C15";"0.1uF";"0.1UF-16V(+-10%)(0402)";"0402-CAP";"";"";"CAP-12416";"";"";"0.1uF";"";
"C16";"1.0uF";"1.0UF-16V-10%(0402)";"0402-CAP";"";"";"CAP-12417";"";"";"1.0uF";"";
"C17";"1.0uF";"1.0UF-16V-10%(0402)";"0402-CAP";"";"";"CAP-12417";"";"";"1.0uF";"";
"C18";"";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"";"";"";
"C19";"1.0uF";"1.0UF-16V-10%(0402)";"0402-CAP";"";"";"CAP-12417";"";"";"1.0uF";"";
"C20";"1.0uF";"1.0UF-16V-10%(0402)";"0402-CAP";"";"";"CAP-12417";"";"";"1.0uF";"";
