"Part";"Value";"Device";"Package";"Description";"DIST";"DIST_ID";"PROD_ID";"VALUE";
"C1";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"";"CAP-00811";"10uF";
"C2";"1uF";"1UF-25V-10%(0805)";"0805";"CAP-08064";"";"";"CAP-08064";"1uF";
"C3";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"";"CAP-00811";"10uF";
"C4";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"";"";"CAP-08280";"4.7uF";
"C5";"180pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"Digikey";"1276-1255-2-ND";"";"";
"C6";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"CAP-08604";"0.1uF";
"C7";"47pF";"47PF-50V-5%(0603)";"0603-CAP";"CAP-08913";"";"";"CAP-08913";"47pF";
"C8";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"CAP-08604";"0.1uF";
"C9";"47pF";"47PF-50V-5%(0603)";"0603-CAP";"CAP-08913";"";"";"CAP-08913";"47pF";
"C10";"180pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"Digikey";"1276-1255-2-ND";"";"";
"C11";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"CAP-08604";"0.1uF";
"C12";"47pF";"47PF-50V-5%(0603)";"0603-CAP";"CAP-08913";"";"";"CAP-08913";"47pF";
"C13";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"CAP-08604";"0.1uF";
"C14";"47pF";"47PF-50V-5%(0603)";"0603-CAP";"CAP-08913";"";"";"CAP-08913";"47pF";
"C15";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"CAP-00868";"1.0uF";
"C16";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"CAP-00868";"1.0uF";
"C17";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"CAP-00868";"1.0uF";
"C18";"15pF";"15PF-50V-5%(0603)";"0603-CAP";"CAP-07881";"";"";"CAP-07881";"15pF";
"C19";"15pF";"15PF-50V-5%(0603)";"0603-CAP";"CAP-07881";"";"";"CAP-07881";"15pF";
"D1";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"";"";"DIO-00821";"GREEN";
"D2";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"";"DIO-00819";"RED";
"D3";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"";"";"DIO-08575";"BLUE";
"D4";"BA340A";"B340A";"SMA-DIODE";"Schottky Diode";"";"";"DIO-09886";"BA340A";
"D5";"BA340A";"B340A";"SMA-DIODE";"Schottky Diode";"";"";"DIO-09886";"BA340A";
"D6";"BA340A";"B340A";"SMA-DIODE";"Schottky Diode";"";"";"DIO-09886";"BA340A";
"FID1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"JP1";"FTDI_BASICPTH";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI Basic header with labels";"";"";"";"";
"JP2";"";"USB-ABCONN-11794";"USB-AB-MICRO-SMD_V03";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"";"";"CONN-11794";"";
"JP3";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP4";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP5";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP6";"M02-JST-2MM-SMT";"M02-JST-2MM-SMT";"JST-2-SMD";"Standard 2-pin 0.1" header. Use with";"";"";"CONN-08352";"";
"JP7";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP8";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP9";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP10";"";"M04PTH";"1X04";"Header 4";"";"";"";"";
"JP11";"";"M03X22X3_SILK_SM";"2X3";"2x3 .1" header.";"";"";"";"";
"JP12";"";"M06SIP";"1X06";"Header 6";"";"";"";"";
"JP13";"AUDIO-JACK2SMD";"AUDIO-JACK2SMD";"AUDIO-JACK-3.5MM-SMD";"Stereo audio jack with bypass switches.";"";"";"CONN-10353";"";
"JP14";"AUDIO-JACK2SMD";"AUDIO-JACK2SMD";"AUDIO-JACK-3.5MM-SMD";"Stereo audio jack with bypass switches.";"";"";"CONN-10353";"";
"JP15";"";"M04PTH";"1X04";"Header 4";"";"";"";"";
"JP16";"M04X2";"M04X2";"2X4";".1" header, two rows of four.";"";"";"";"";
"JP17";"M05X2PTH";"M05X2PTH";"AVR_ICSP";"Header 5x2";"";"";"";"";
"JP18";"";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP19";"FTDI_DEVICE";"FTDI_DEVICE";"FTDI_DEVICE_SIDE";"Connector which mates to FTDI basic or FTDI cable.";"";"";"";"";
"JP20";"";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP21";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP22";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"L1";"15nH";"INDUCTOR0603";"0603";"Inductors";"DIGIKEY";"535-11527-1-ND";"";"";
"L2";"15nH";"INDUCTOR0603";"0603";"Inductors";"DIGIKEY";"535-11527-1-ND";"";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";"";
"Q1";"MOSFET-NCHANNELBSS138";"MOSFET-NCHANNELBSS138";"SOT23";"Common NMOSFET Parts";"";"";"TRANS-00830";"";
"Q2";"MOSFET-NCHANNELBSS138";"MOSFET-NCHANNELBSS138";"SOT23";"Common NMOSFET Parts";"";"";"TRANS-00830";"";
"Q3";"MMBT4403";"TRANSISTOR_PNPMMBT4403";"SOT23";"Generic PNP BJT";"";"";"TRANS-09245";"MMBT4403";
"R1";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"10K";
"R2";"240";"240OHM1/10W1%(0603)";"0603-RES";"RES-07849";"";"";"RES-07849";"240";
"R3";"240";"240OHM1/10W1%(0603)";"0603-RES";"RES-07849";"";"";"RES-07849";"240";
"R4";"240";"240OHM1/10W1%(0603)";"0603-RES";"RES-07849";"";"";"RES-07849";"240";
"R5";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"10K";
"R6";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"10K";
"R7";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"10K";
"R8";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"10K";
"R9";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"10K";
"R10";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"";"";"RES-00824";"10K";
"R11";"0.75";"0.75OHM1/4W1%(0805)";"0805";"RES-08474";"";"";"RES-08474";"0.75";
"R12";"0.22";"0.22OHM1/4W1%(0805)";"0805";"RES-09883";"";"";"RES-09883";"0.22";
"R13";"15K";"15KOHM1/10W1%(0603)0603";"0603-RES";"RES-07854";"";"";"RES-07854";"15K";
"R14";"30.1k";"30.1KOHM1/10W1%(0603)";"0603-RES";"RES-08595";"";"";"RES-08595";"30.1k";
