"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C3";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"C4";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C5";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Header 2";"";"";
"JP2";"";"M021X02_NO_SILK";"1X02_NO_SILK";"Header 2";"";"";
"JP3";"";"M08SIP_NS";"1X08_NO_SILK";"Header 8";"";"";
"JP4";"";"M08SIP_NS";"1X08_NO_SILK";"Header 8";"";"";
"JP5";"";"M06SIP_NS";"1X06_NO_SILK";"Header 6";"";"";
"JP6";"M10SIP_NS";"M10SIP_NS";"1X10_NO_SILK";"Header 10";"";"";
"JP7";"M09NO_SILK";"M09NO_SILK";"1X09_NO_SILK";"Header 9";"";"";
"JP10";"LOGO-SFENW2";"LOGO-SFENW2";"SFE-NEW-WEB";"Spark Fun Electronics PCB Logo";"";"";
"LED1";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"LED2";"YELLOW";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"DIO-09003";"";
"LED3";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"Q2";"BSS138";"MOSFET-NCHANNELSMD";"SOT23-3";"Generic NMOS footprint";"";"";
"Q3";"BSS138";"MOSFET-NCHANNELSMD";"SOT23-3";"Generic NMOS footprint";"";"";
"R1";"100k";"100KOHM1/10W1%(0603)";"0603-RES";"RES-07828";"RES-07828";"100k";
"R2";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R3";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R6";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R7";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R8";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R9";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R10";"10k";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"SJ1";"";"SOLDERJUMPER_2WAYS";"SJ_3";"Solder Jumper";"";"";
"SJ2";"";"SOLDERJUMPER_2WAYS";"SJ_3";"Solder Jumper";"";"";
"SJ3";"cd";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";
"SJ4";"8";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";
"SJ5";"2";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";
"U$6";"REVISION";"REVISION";"REVISION";"";"";"";
"U$7";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"U1";"ELECTRIC_IMP";"ELECTRIC_IMP";"SD_1:1";"Electric Imp SD Socket";"CONN-11976";"";
"U2";"ARDUINO_SHIELD";"ARDUINO_SHIELDNOHOLESORLABELS";"DUEMILANOVE_SHIELD_NOHOLES_NOLABELS";"Arduino shield footprint";"";"";
"U3";"MIC5219-3.3";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";"";
"U4";"ATSHA204-TSU";"ATSHA204-TSU";"SOT23-3";"";"";"";
