"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";"";
"C3";"47pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C4";"47pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C5";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C6";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C7";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"D1";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"D2";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"D3";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"D4";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"JP4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"JP5";"M111X11_NO_SILK";"M111X11_NO_SILK";"1X11_NO_SILK";"Header 11";"";"";
"JP6";"M111X11_NO_SILK";"M111X11_NO_SILK";"1X11_NO_SILK";"Header 11";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"R2";"27";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";
"R4";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";
"R5";"27";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";
"R6";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";
"R7";"330";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";
"R8";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";
"S2";"Reset";"SWITCH-MOMENTARY-2SMD";"TACTILE_SWITCH_SMD";"Various NO switches- pushbuttons, reed, etc";"SWCH-08247";"";
"SJ1";"RSSI_LED_EN";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";
"SJ2";"CTS_EN";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";
"SJ3";"RTS_EN";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";
"SJ4";"DTR";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";
"U$1";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";"";
"U$4";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";
"U$5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"U$9";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"U$10";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"U$11";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";
"U2";"XBEE-1B3";"XBEE-1B3";"XBEE-SMD";"";"";"";
"U3";"MIC5219 3.3V";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";"";
"U4";"FT231XS";"FT231XS";"SSOP20_L";"FTDI FT231X Full Speed USB to Full-handshake UART";"";"";
"X1";"USBSMD";"USBSMD";"USB-MINIB";"USB Connectors";"";"";
