"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD-ID";"PROD_ID";"REV";"VALUE";
"C1";"1uF";"1.0UF50V10%(1206)";"1206-CAP";"CAP-09822";"";"";"";"";"";
"C2";"2.2uF";"2.2UF50V10%(1206)";"1206-CAP";"CAP-10009";"";"";"";"";"";
"CH1";"";"CONN_023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"CONN-08399";"";"";
"D1";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"";"";"DIO-08053";"";"MBRA140";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"JP1";"";"M04PTH";"1X04";"Header 4";"";"";"";"";"";
"JP2";"M02PTH";"M02PTH";"1X02@1";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";
"L1";"33µH/±20%/1.4A";"INDUCTOR-SRN6045-33UH";"SRN6045";"Inductors";"";"";"NDUC-11627";"";"33µH/±20%/1.4A";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";
"R1";"0.3R";"0.3OHM-1/8W-1%(0805)";"0805";"RES-11622";"";"";"RES-11622";"";"0.3";
"R2";"0.3R";"0.3OHM-1/8W-1%(0805)";"0805";"RES-11622";"";"";"RES-11622";"";"0.3";
"SJ2";"NO Jumper";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";"";"";
"U1";"AL8860";"AL8860";"SOT23-5";"";"";"IC-16593";"";"";"";
