"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C4";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C5";"10uF";"10UF10V10%(0805)";"0805-CAP";"CAP-11330";"CAP-11330";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP1";"";"M08LOCK";"1X08_LOCK";"Header 8";"";"";
"JP2";"EDISON_CONNECTOR_FULLMOUNTING_HOLES";"EDISON_CONNECTOR_FULLMOUNTING_HOLES";"EDISON_DAUGHTER";"";"";"";
"JP3";"EDISON_CONNECTOR_FULLHEADER";"EDISON_CONNECTOR_FULLHEADER";"DF40C-70DP-0.4(51)";"";"";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";
"LOGO4";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";
"R1";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R3";"200k";"200KOHM1/10W1%(0603)200K";"0603-RES";"RES-09385";"RES-09385";"200k";
"R4";"DNP";"2.2KOHM-1/10W-1%(0603)";"0603-RES";"RES-08272";"RES-08272";"2.2k";
"R5";"DNP";"2.2KOHM-1/10W-1%(0603)";"0603-RES";"RES-08272";"RES-08272";"2.2k";
"R6";"2.2k";"2.2KOHM-1/10W-1%(0603)";"0603-RES";"RES-08272";"RES-08272";"2.2k";
"R7";"0.27";"0.27OHM-1/10W-1%(0603)";"0603-RES";"RES-08787";"RES-08787";"";
"SJ1";"JUMPER-PAD-2-NC_BY_PASTE";"JUMPER-PAD-2-NC_BY_PASTE";"PAD-JUMPER-2-NC_BY_PASTE_YES_SILK";"";"";"";
"SJ2";"JUMPER-PAD-2-NOYES_SILK";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";
"SJ3";"JUMPER-PAD-2-NOYES_SILK";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";
"SJ4";"JUMPER-PAD-2-NOYES_SILK";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";
"SJ5";"SDA_SEL";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"SJ6";"SCL_SEL";"JUMPER-PAD-3-2OF3_NC_BY_PASTE";"PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX";"";"";"";
"U1";"ADS1015";"ADS1015";"MSOP10";"12-Bit Del-Sig ADC";"IC-12239";"ADS1015";
"U2";"PCA9306";"PCA9306PCA9306DC-1:1";"PCA9306DC-1:1";"Bidirectional I2C level shifter.";"IC-10023";"PCA9306";
"U3";"3.3V";"MIC52053.3V";"SOT23-5";"MIC5205 150mA vreg";"VREG-00822";"";
