"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DKPART";"MFR";"MFRPART";"PROD_ID";"REV";"SF_SKU";"VALUE";
"3V3_QWIIC";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";
"C1";"10nF";"10NF-0402T-25V-10%";"0402-TIGHT";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"CAP-14847";"";"";"10nF";
"C2";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"";"";"CAP-14848";"";"";"10uF";
"C3";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C4";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C5";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"";"";"CAP-14848";"";"";"10uF";
"C6";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"";"";"CAP-14848";"";"";"10uF";
"C7";"12pF";"12PF-0402T-50V-5%";"0402-TIGHT";"12pF ceramic capacitors";"";"";"";"";"CAP-14665";"";"";"12pF";
"C8";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C9";"12pF";"12PF-0402T-50V-5%";"0402-TIGHT";"12pF ceramic capacitors";"";"";"";"";"CAP-14665";"";"";"12pF";
"C10";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C11";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"";"";"CAP-14848";"";"";"10uF";
"C12";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C13";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C14";"4.7uF";"4.7UF-0402_TIGHT-6.3V-20%-X5R";"0402-TIGHT";"4.7µF ceramic capacitors";"";"";"";"";"CAP-14240";"";"";"4.7uF";
"C15";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C16";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C17";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C18";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C19";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C20";"10pF";"10PF-0603-50V-5%";"0603";"10pF ceramic capacitors";"";"";"";"";"CAP-11812";"";"";"10pF";
"C21";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C22";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C23";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C24";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C25";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"CAP-07888";"";"";"2.2uF";
"C26";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C27";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"";"";"CAP-14848";"";"";"10uF";
"C28";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C29";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C30";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"C31";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C32";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"C33";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"CAP-13458";"";"";"100pF";
"C34";"5.6nF";"5.6NF/5600PF_0603_50V_5%";"0603";"5.6nF/5600pF ceramic capacitors";"";"";"";"";"CAP-16058";"";"";"5.6nF";
"C35";"390nF";"390NF-0603-10V-10%";"0603";"0.39uF/390nF ceramic capacitors";"";"";"";"";"CAP-10986";"";"";"390nF";
"C36";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C37";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C38";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"C39";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"CAP-14260";"";"";"22uF";
"C40";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"CAP-14260";"";"";"22uF";
"C41";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"CAP-14260";"";"";"22uF";
"C42";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"CAP-14260";"";"";"22uF";
"C43";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"CAP-14260";"";"";"22uF";
"C44";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"CAP-14260";"";"";"22uF";
"C45";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"CAP-14260";"";"";"22uF";
"C46";"22uF";"22UF-0805-16V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"CAP-14260";"";"";"22uF";
"C47";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C48";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C49";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C50";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C51";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C52";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C53";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C54";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C55";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C56";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C57";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C58";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"C59";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C60";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"C61";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"CAP-13458";"";"";"100pF";
"C62";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"C63";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"C66";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"C67";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"CAP-13458";"";"";"100pF";
"C68";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"CAP-13458";"";"";"100pF";
"C69";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"C70";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"C71";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"C72";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"CAP-12417";"";"";"1.0uF";
"C73";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C74";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C75";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C76";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C77";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C78";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C79";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"C80";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"D1";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"";"";"";"DIO-08053";"";"";"1A/40V/500mV";
"D3";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"Schottky diode";"";"";"";"";"DIO-08053";"";"";"1A/40V/500mV";
"D4";"RGB";"LED-RGB-CAPLCC";"P-LCC-4-3";"LED-RGB Diffused Common Anode";"";"";"";"";"DIO-12986";"";"";"RGB";
"FB1";"470Ω";"FERRITE_BEAD-0603-470Ω-100MHZ-1A-200MILIΩ";"0603";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"NDUC-12579";"";"";"470Ω";
"FB2";"470Ω";"FERRITE_BEAD-0603-470Ω-100MHZ-1A-200MILIΩ";"0603";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"NDUC-12579";"";"";"470Ω";
"FB3";"470Ω";"FERRITE_BEAD-0603-470Ω-100MHZ-1A-200MILIΩ";"0603";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"NDUC-12579";"";"";"470Ω";
"FB4";"600Ω";"FERRITE_BEAD-0805-600Ω-100MHZ";"0805";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"NDUC-14988";"";"";"600Ω";
"FB5";"600Ω";"FERRITE_BEAD-0805-600Ω-100MHZ";"0805";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"NDUC-14988";"";"";"600Ω";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";"";"";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";
"I2C";"";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";"";"";"";
"J1";"VDC-IN";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
