"Part";"Value";"Device";"Package";"Description";"BOM";
"C1";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C4";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"D1";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID3";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"JP1";"";"PINHD-1X12-CB";"1X12-CB";"PIN HEADER";"";
"JP2";"";"PINHD-1X12-CB";"1X12-CB";"PIN HEADER";"";
"JP3";"";"PINHD-1X6B";"1X06-BIG";"PIN HEADER";"";
"LED1";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"LED2";"GREEN";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"R1";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"2.2K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"SW1";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SMT 6mm switch, EVQQ2 series";"";
"U1";"BlueFruit";"BLUETOOTH_MODULE";"BLUETOOTH_MODULE";"BLUETOOTH MODULE";"";
"U2";"MIC5225";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";
