"Part";"Value";"Device";"Package";"Description";"MFG";"PROD_#";"SKU";"SPARKLE_ID";
"BAT1";"";"BATTERYAA-KIT";"BATTERY-AA-KIT";"Battery Holders";"";"";"";"";
"BAT2";"";"BATTERYAA-KIT";"BATTERY-AA-KIT";"Battery Holders";"";"";"";"";
"C1";"0.1uF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";"";
"C2";"0.1uF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";"";
"C3";"0.1uF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";"";
"C10";"0.1uF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"J1";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";"";"";
"JP1";"";"JUMPER-2SMD-NO";"SJ_2S-NO";"Jumper";"";"";"";"";
"JP9";"Program";"ARDUINO_SERIAL_PROGRAMPTH-KIT";"1X06-KIT";"FTDI connector footprints";"";"";"";"";
"LED1";"Red";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"";"";
"LED2";"Red";"LED5MM-KIT";"LED5MM-KIT";"LEDs";"";"";"";"";
"LOGO1";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";"";"";
"LOGO2";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";"";"";
"LOGO3";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
"R1";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R2";"10K";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R3";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R4";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R5";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R6";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R7";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R8";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R9";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R10";"330";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R11";"TRIMPOT-PTH-KNOB";"TRIMPOT-PTH-KNOB";"3386U";"Various small potentiometers for "set-and-forget" applications";"";"";"";"";
"R12";"330";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R14";"10K";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R17";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R18";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R19";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R20";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"R21";"2M";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";
"S1";"";"SWITCH-SPDTKIT";"SWITCH-SPDT_KIT";"SPDT Switch";"";"";"";"";
"S2";"";"TAC_SWITCHPTH";"TACTILE-PTH";"Momentary Switch";"";"";"";"";
"SP1";"SPEAKERPCB_MOUNT";"SPEAKERPCB_MOUNT";"PCB_MOUNT_SPEAKER";"General speakers.";"SANCO";"NA";"COM-11089";"6504";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";
"U3";"ATMEGA328P_PDIP_EZ";"ATMEGA328P_PDIP_EZ";"DIL28-EZ";"uC used in the Arduino";"";"";"";"";
