"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C3";"22pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP1";"";"M10"";"1X10";"Header 10";"";
"JP2";"";"M10"";"1X10";"Header 10";"";
"JP3";"SMA_EDGE";"SMA_EDGE";"SMA_EDGE";"";"";
"JP4";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";
"L1";"33nH";"INDUCTOR0603";"0603";"Inductors";"";
"SJ1";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";
"U$1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"U$2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"U$3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"U1";"COPERNICUS";"COPERNICUSSMD";"COPERNICUS";"Copernicus II GPS-  Trimble recommended layout and paste layer. Footprint production proven. Spark Fun Electronics SKU : GPS-07951";"";
