"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C2";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C4";"10uf , 20V";"10UF-20V-10%(TANT)";"EIA3528";"CAP-08063";"CAP-08063";"10uF";
"F1";"";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";
"F2";"";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP0";"D0";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP1";"D1";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP2";"D2";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP3";"D3";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP4";"D4";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP5";"D5";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP6";"D6";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP7";"D7";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP8";"D8";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP9";"D9";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP10";"D10";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP11";"D11";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP12";"D12";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP13";"D13";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP14";"A0";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP15";"A1";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP16";"A2";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP17";"A3";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP18";"A4";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP19";"A5";"M03LOCK";"1X03_LOCK";"Header 3";"";"";
"JP20";"";"M04PTH";"1X04";"Header 4";"";"";
"JP21";"";"M04PTH";"1X04";"Header 4";"";"";
"JP22";"";"M04LOCK";"1X04_LOCK";"Header 4";"";"";
"JP23";"";"M04LOCK";"1X04_LOCK";"Header 4";"";"";
"LED1";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"DIO-09003";"Yellow";
"LED2";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"DIO-09003";"Yellow";
"LED3";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"DIO-08575";"BLUE";
"LED4";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"DIO-08575";"BLUE";
"LED5";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"DIO-08575";"BLUE";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";
"LOGO3";"SFE_LOGO_FLAME.2COP";"SFE_LOGO_FLAME.2COP";"SFE_LOGO_FLAME_COPPER_.2";"SFE Logo, flame only";"";"";
"LOGO4";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";
"R1";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R2";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R3";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R4";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"RES-07856";"1K";
"R5";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"S1";"";"SWITCH-SPDTSMD";"AYZ0202";"SPDT Switch";"SWCH-08179";"";
"S2";"";"SWITCH-SPDTSMD";"AYZ0202";"SPDT Switch";"SWCH-08179";"";
"S4";"RESET";"TAC_SWITCHSMD";"TACTILE-SWITCH-SMD";"Momentary Switch";"SWCH-08247";"TAC_SWITCHSMD";
"SJ3";"";"JUMPER-PAD-3-NC_BY_TRACE";"PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";
"SJ4";"";"JUMPER-PAD-3-NC_BY_TRACE";"PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";
"TP1";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP2";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP3";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP4";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP5";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP6";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP7";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP8";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP9";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP10";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP11";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"U$1";"SFE_LUDUSSFE_LUDUS-M";"SFE_LUDUSSFE_LUDUS-M";"SFE_LUDUS-M";"";"";"";
"U1";"ARDUINO";"ARDUINO_R3_SHIELDUNO_R3_SHIELD_NOLABELS_LOCK";"UNO_R3_SHIELD_NOLABELS_LOCK";"Shield form compatible with the Arduino Uno R3.";"";"";
"U2";"TB6612FNG";"TB6612FNG";"SSOP24";"Toshiba 1A dual motor driver";"IC-09363";"TB6612FNG";
