"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"SKU";"VALUE";
"D4";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"";"";"";"Yellow";
"D5";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"DIO-00821";"";"";"";"GREEN";
"E1";"";"ANTENNA-GROUNDEDTRACE-25.7MM";"TRACE_ANTENNA_2.4GHZ_25.7MM";"Antenna w/ Ground Connection";"";"";"";"";"";
"F1";"500mA";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";"";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"J1";"U.FL";"U.FL";"U.FL";"SMD Antenna Connector - U.FL";"CONN-09193";"WRL-09144";"";"";"U.FL";
"J2";"";"USB_MICROB_PLUGCONN-11752";"USB-B-MICRO-SMD_V03";"USB Micro-B connectors";"CONN-11752";"";"";"";"";
"JP2";"";"CONN_10LOCK_NS";"1X10_LOCK_NS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"JP3";"";"CONN_10LOCK_NS";"1X10_LOCK_NS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"JP4";"";"CONN_02JST-PTH-2";"JST-2-PTH";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-09863";"";"";"PRT-09914";"";
"JP5";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"JP6";"";"CONN_023.5MM-NO_SILK";"SCREWTERMINAL-3.5MM-2-NS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08399";"";"";"";"";
"L1";"DNP";"INDUCTOR0603";"0603";"Inductors";"";"";"";"";"";
"L2";"DNP";"INDUCTOR0603";"0603";"Inductors";"";"";"";"";"";
"LOGO1";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME.2_INCH";"SFE_LOGO_NAME_.2";"SparkFun Font Logo";"";"";"";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"Q1";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"TRANS-08049";"";"";"";"600mA/40V";
"Q2";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"TRANS-08049";"";"";"";"600mA/40V";
"R1";"12k";"12KOHM-0603-1/10W-1%";"0603";"12kΩ resistor";"RES-10327";"";"";"";"12k";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"R3";"200";"200OHM-0603-1/10W-1%";"0603";"200Ω resistor";"RES-08220";"";"";"";"200";
"R4";"200";"200OHM-0603-1/10W-1%";"0603";"200Ω resistor";"RES-08220";"";"";"";"200";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"R6";"200";"200OHM-0603-1/10W-1%";"0603";"200Ω resistor";"RES-08220";"";"";"";"200";
"R7";"27";"27OHM-0603-1/10W-1%";"0603";"27Ω resistor";"RES-09334";"";"";"";"27";
"R8";"27";"27OHM-0603-1/10W-1%";"0603";"27Ω resistor";"RES-09334";"";"";"";"27";
"R9";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"R10";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"R11";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"R12";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"";"";"1k";
"R13";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"";"";"1k";
"R14";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"R15";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"";"";"1k";
"R16";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"";"";"1k";
"R17";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"S1";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"Single Pole, Double Throw (SPDT) Switch";"SWCH-10651";"";"COM-10860";"";"";
"SJ1";"PWRLED";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";
"SJ2";"SLEEP-PTH";"JUMPER-PTH-2-NO";"PTH-JUMPER-2-NO_NO_SILK";"";"";"";"";"";"";
"SJ3";"TRACE";"JUMPER-PAD-2-NC_BY_PASTENO-SILK";"PAD-JUMPER-2-NC_BY_PASTE_NO_SILK";"";"";"";"";"";"";
"SJ4";"U.FL";"JUMPER-PAD-2-NO";"PAD-JUMPER-2-NO_NO_SILK";"";"";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"U$1";"4H-NYSD-LOGO-1.35IN";"4H-NYSD-LOGO-1.35IN";"4H-1.35IN_WIDE";"4-H National Youth Science Day Logo";"";"";"";"";"";
"U$2";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";"";
"U1";"AP2112K-3.3V";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"VREG-12457";"";"";"";"";
"U2";"ESP8266";"ESP8266";"QFN32-5X5MM";"Espressif ESP8266 WiFi/Microcontroller SoC";"IC-12452";"";"";"";"";
"U3";"AT25SF041-SOIC8";"AT25SF041-SOIC8";"SO08";"SPI Serial Flash Memory with Dual/Quad-IO Support";"IC-12455";"";"";"";"";
"U4";"FTS31XS-U";"FT231XS";"SSOP20_L";"FTDI FT231X Full Speed USB to Full-handshake UART";"IC-11524";"";"";"";"FTS31XS-U";
"Y1";"26MHz";"CRYSTAL-GROUNDED3.2X2.5";"CRYSTAL-SMD-3.2X2.5";"";"XTAL-12454";"";"";"";"";
