"Part";"Value";"Device";"Package";"Description";"BOM";"TP_SIGNAL_NAME";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C2";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C3";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C6";"10uF";"CAP_CERAMIC0805_10MGAP";"0805_10MGAP";"Ceramic Capacitors";"";"";
"C7";"10uF";"CAP_CERAMIC0805_10MGAP";"0805_10MGAP";"Ceramic Capacitors";"";"";
"C8";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C9";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C10";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C11";"4.7nF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C12";"4.7nF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"CONTROL";"Control Breakout";"PINHD-1X14-CB";"1X14-CB";"PIN HEADER";"";"";
"D2";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";
"D3";"MBR120";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";
"D4";"MBR120";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"GPIO1";"GPIO breakout";"PINHD-1X14-CB";"1X14-CB";"PIN HEADER";"";"";
"GREEN";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";
"LED4";"Green";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";
"R1";"1M";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";
"R2";"100K";"RESISTOR_4PACK_US";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"R3";"470";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";
"R6";"470";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";
"R7";"470";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";
"R8";"470";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";
"R9";"100K";"RESISTOR_4PACK_US";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"R10";"100K";"RESISTOR_4PACK_US";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"R11";"100K";"RESISTOR_4PACK_US";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"R12";"100K";"RESISTOR_4PACK_US";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"TP1";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";
"TP2";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";
"TP3";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";
"U$5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";
"U$6";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";
"U$7";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";
"U$8";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";
"U1";" MX25L1606";"SPIFLASH_SOIC8208MIL";"SOIC8_208MIL";"SOIC8 SPI Flash";"";"";
"U2";"VS1000";"VS1000";"LQFP48";"VS1000 Ogg Vorbis Player";"";"";
"X1";"Micro B";"USBMICRO_20329";"4UCONN_20329";"USB Connectors";"";"";
"X2";"JST_PH_2";"CON_JST_PH_2PIN";"JSTPH2";"JST 2-Pin Right-Angle Connector";"";"";
"X3";"19621";"AUDIO_3.5MMJACK_4POL";"4UCONN_18510";"Footprint courtesy Morten Hjerde (Riftlabs.com)";"";"";
"Y2";"12MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";
