"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"CAP-08402";"22uF";
"C2";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"CAP-00867";"10nF";
"C3";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"CAP-08402";"22uF";
"C4";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"CAP-00867";"10nF";
"C5";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"D1";"Green";"LED-GREEN1206-BOTTOM";"LED-1206-BOTTOM";"Green SMD LED";"DIO-11076";"Green";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"J2";"";"CONN_04JST-PTH-VERT-NS";"JST-4-PTH-VERT-NS";"Header 4";"";"";
"J8";"";"CONN_04NO_SILK_ALL_ROUND";"1X04_NO_SILK_ALL_ROUND";"Header 4";"CONN-09696";"";
"LOGO1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";
"LOGO3";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SFE Logo, name only";"";"";
"LOGO4";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"R2";"560k";"560KOHM-0603-1/10W-5%";"0603";"560kΩ resistor";"RES-10301";"560k";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"10k";
"R4";"1M";"TRIMPOTTX33X-1M";"TRIMPOT-TC33X";"Various small potentiometers for "set-and-forget" applications";"RES-13431";"1M";
"R5";"43k";"43KOHM-0603-1/10W-1%";"0603";"43kΩ resistor";"RES-07858";"43k";
"R6";"51k";"51KOHM-0603-1/10W-1%";"0603";"51kΩ resistor";"RES-08495";"51k";
"R7";"1M";"TRIMPOTTX33X-1M";"TRIMPOT-TC33X";"Various small potentiometers for "set-and-forget" applications";"RES-13431";"1M";
"R8";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"1k";
"S1";"";"SWITCH-SPDT-SMD-A";"SWITCH-SPST-SMD-A";"SPDT Switch";"SWCH-10651";"";
"SJ1";"LED-EN";"SOLDERJUMPERNC";"SJ_2S";"Solder Jumper";"";"";
"TP1";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"TP2";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";
"U$1";"CWM 0.5 GI V1";"PIR-LENSCWM-0.5-GI-V1";"LENS-CWM-0.5-GI-V1";"";"";"CWM 0.5 GI V1";
"U1";"NCS36000";"NCS36000";"SO14";"";"IC-13432";"";
"U2";"PIR";"PIR";"PIR";"";"IC-13430";"";
