"Part";"Value";"Device";"Package";"Description";"BOM";"POPULARITY";
"C1";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";
"C2";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C4";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";
"C5";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";
"C6";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";
"C7";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";
"CONN3";"STEMMA_I2C_QT";"STEMMA_I2C_QT";"JST_SH4";"";"";"";
"CONN4";"STEMMA_I2C_QT";"STEMMA_I2C_QT";"JST_SH4";"";"";"";
"D2";"GREEN";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";
"FID1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"FID2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";
"IC2";"ATSAMD09D14A-MU";"ATSAMD09D14A-MU";"QFN24_4MM";"";"";"";
"IC3";"74AHCT1G125DBV";"74AHCT1G125DBV";"SOT23-5";"Single Bus Buffer Gate with 3-State Output";"";"0";
"JP1";"";"HEADER-1X670MIL";"1X06_ROUND_70";"PIN HEADER";"";"";
"JP5";"";"HEADER-1X670MIL";"1X06_ROUND_70";"PIN HEADER";"";"";
"LED1";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";
"LED2";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";
"LED3";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";
"LED4";"WS2812B_SK6812E";"WS2812B_SK6812E";"NEO3535_REVERSE";"";"";"";
"Q2";"BSS138";"MOSFET-N_DUAL";"SOT363";"Dual N-Channel MOSFET";"";"";
"R1";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R2";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R3";"10K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"R7";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"SJ2";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";
"SJ3";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";
"SJ4";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";
"SJ5";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";
"SW1";"";"SWITCH_PUSHBUTTON_KAILH_SOCKET";"KAILH_SOCKET";"Buttons";"";"";
"SW2";"";"SWITCH_PUSHBUTTON_KAILH_SOCKET";"KAILH_SOCKET";"Buttons";"";"";
"SW3";"";"SWITCH_PUSHBUTTON_KAILH_SOCKET";"KAILH_SOCKET";"Buttons";"";"";
"SW4";"";"SWITCH_PUSHBUTTON_KAILH_SOCKET";"KAILH_SOCKET";"Buttons";"";"";
"TP5";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"Test Point";"";"";
"TP6";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"Test Point";"";"";
"TP7";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"Test Point";"";"";
"U$3";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";
"U$17";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";
"U$19";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";
"U$21";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";
"U2";"AP2112K-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";
