"Part";"Value";"Device";"Package";"Description";"BTM_NEG";"BTM_POS";"DESIGNER";"PROD-ID";"PROD_ID";"TOP_NEG";"TOP_POS";"VALUE";"VERSION";
"C1";"1.0uF";"1.0UF-25V-+80/-20(0805)"";"0805-CAP";"CAP-11625";"";"";"";"";"CAP-11625";"";"";"1.0uF";"";
"C2";"2.2uF";"2.2UF-10V-20%(0603)";"0603-CAP";"CAP-07888";"";"";"";"";"CAP-07888";"";"";"2.2uF";"";
"C3";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"";"";"";"";"CAP-08280";"";"";"4.7uF";"";
"C4";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";
"C5";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"CAP-00867";"";"";"";"";"CAP-00867";"";"";"10nF";"";
"C6";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"";"";"";"CAP-11015";"";"";"10uF";"";
"C7";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"C8";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"C9";"15pF";"15PF-50V-5%(0603)";"0603-CAP";"CAP-07881";"";"";"";"";"CAP-07881";"";"";"15pF";"";
"C10";"15pF";"15PF-50V-5%(0603)";"0603-CAP";"CAP-07881";"";"";"";"";"CAP-07881";"";"";"15pF";"";
"C11";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"C12";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";
"D1";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"";"";"";"DIO-00819";"";"";"RED";"";
"D2";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"";"";"";"";"DIO-08575";"";"";"BLUE";"";
"D3";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"";"";"";"";"DIO-00821";"";"";"GREEN";"";
"D4";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"";"";"";"";"DIO-09003";"";"";"Yellow";"";
"D5";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"";"";"";"";"DIO-00819";"";"";"RED";"";
"D6";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"";"";"";"";"DIO-11623";"";"";"1A/23V/620mV";"";
"F1";"500mA";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"";"";"";"";"RES-11150";"";"";"";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";
