"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SKU";"VALUE";
"LOGO1";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SFE Logo, name only";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";
"LOGO3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";
"Q1";"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23-3";"Generic NPN BJT";"TRANS-08049";"";"MMBT2222A";
"R1";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"";"10K";
"R2";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R3";"4.7K";"4.7KOHM1/10W1%(0603)";"0603";"RES-07857";"RES-07857";"";"";
"R4";"2.2k";"2.2KOHM1/10W1%(0603)";"0603-RES";"RES-08272";"RES-08272";"";"2.2k";
"R5";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R6";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"";"10K";
"R7";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R8";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R9";"1K";"1KOHM1/10W1%(0603)";"0603-RES";"RES-07856";"RES-07856";"";"1K";
"R10";"22";"22OHM1/10W1%(0603)";"0603-RES";"RES-08698";"RES-08698";"";"22";
"R11";"22";"22OHM1/10W1%(0603)";"0603-RES";"RES-08698";"RES-08698";"";"22";
"S1";"BOOT";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"SWCH-08247";"";"";
"S2";"RESET";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"SWCH-08247";"";"";
"SJ1";"BOOT";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"SJ2";"VBAT1";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";
"SJ3";"VBAT_EN";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";
"SJ4";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";
"SJ5";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"SJ6";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"SJ7";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"SJ8";"FTDI_VCCIO";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";
"SJ9";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"SJ10";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"TP1";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP2";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP3";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"U1";"SPX29302";"SPX29302";"Q5-DD_SPX29300";"3A LDO regulator";"VREG-08337";"";"";
"U2";"TXB0104";"TXB0104PWRSOIC14";"SO14";"4-Bit Bi-Directional Level Shifter";"IC-11329";"";"";
"U3";"MG2639V3";"MG2639V3";"MG2639";"";"GPS-12331";"";"";
