"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"1.0uF";
"C2";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"CAP-07888";"2.2uF";
"C3";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"CAP-08280";"4.7uF";
"C4";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"CAP-08280";"4.7uF";
"C5";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C9";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C10";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"CAP-07881";"15pF";
"C11";"0.1uF";"0.1UF-0603-100V-10%";"0603";"0.1µF ceramic capacitors";"CAP-08390";"0.1uF";
"C12";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"CAP-07881";"15pF";
"D1";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"DIO-11623";"1A/23V/620mV";
"D2";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"Yellow";
"D3";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"RED";
"D4";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"BLUE";
"F1";"6V/0.5A";"PPTC_HALF-AMP";"1206";"Resettable Fuse PPTC";"RES-08585";"6V/0.5A";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FD3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FD4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"J1";"LiPo";"CONN_02-JST-2MM-SMT";"JST-2-SMD";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-11443";"";
"J2";"";"USB_MICROB_PLUGCONN-11752";"USB-B-MICRO-SMD_V03";"USB Micro-B connectors";"CONN-11752";"";
"J3";"USD_CONNECTOR";"USD_CONNECTOR";"MICRO-SD-SOCKET-PP";"microSD Socket";"CONN-07820";"";
"J4";"";"CONN_07";"1X07";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J5";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J6";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J7";"";"I2C_STANDARD";"1X04";"SparkFun has standardized on a pinout for all I2C based sensor breakouts.";"";"";
"J8";"";"CONN_01";"1X01";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"JP1";"LED";"JUMPER-SMT_2_NC_PASTE_NO-SILK";"SMT-JUMPER_2_NC_PASTE_NO-SILK";"Normally closed solder jumper";"";"";
"JP3";"CORTEX_DEBUGPTH";"CORTEX_DEBUGPTH";"2X5-PTH-1.27MM";"Cortex Debug Connector";"";"";
"LOGO1";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";
"LOGO3";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";
"R1";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"RES-07857";"4.7k";
"R2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"RES-07857";"4.7k";
"R3";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"1k";
"R4";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"RES-08272";"2.2k";
