"Part";"Value";"Device";"Package";"Description";"BOM";"POPULARITY";"REV";"TP_SIGNAL_NAME";
"C1";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C2";"22pF";"CAP_4PACK1206";"RESPACK_4X0603";"";"";"";"";"";
"C3";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C4";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C5";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C6";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C7";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C8";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"B";"";
"C9";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C10";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C11";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C12";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C13";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C14";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C15";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C16";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C17";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"CHG";"ORANGE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";
"CONN1";"STEMMA_I2C_QT";"STEMMA_I2C_QT";"JST_SH4";"";"";"";"";"";
"D+";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"19";"";"";
"D-";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"19";"";"";
"D4";"MBR054";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";"";
"FB2";"ferrite";"FERRITE-0805NO";"0805-NO";"Ferrite Bead";"";"";"";"";
"JP1";"";"HEADER-1X16ROUND";"1X16_ROUND";"PIN HEADER";"";"";"";"";
"JP3";"";"HEADER-1X12";"1X12_ROUND";"";"";"";"";"";
"L";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";
"LED1";"WS2812B3535";"WS2812B3535";"LED3535";"";"";"";"";"";
"Q3";"DMG3405";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";"";
"R1";"10K";"RESISTOR_4PACK_NO";"RESPACK_4X0603_NO";"Resistor Packs (4 resistors)";"";"";"";"";
"R2";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R3";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R4";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R5";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R6";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R7";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R8";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R9";"100K";"RESISTOR_4PACK_NO";"RESPACK_4X0603_NO";"Resistor Packs (4 resistors)";"";"";"";"";
"R10";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"SW1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";
"TP1";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"Test Point";"";"";"";"";
"TP2";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"Test Point";"";"";"";"";
"TP3";"";"TESTPOINTROUND1.5MM";"TESTPOINT_ROUND_1.5MM";"Test Point";"";"";"";"";
"U$3";"STM32F405R";"STM32F405R";"TQFP64";"STM32F405 64 pin LQFP";"";"";"";"";
"U$5";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";
"U$31";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";"";"";
"U$32";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";"";"";
"U$34";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";
"U$35";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";
"U$37";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";
"U1";"25Q16";"SPIFLASH_8PIN";"SOIC8_150MIL";"SOIC8 SPI Flash";"";"";"";"";
"U2";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";
"U3";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";"";
"X1";"JSTPH";"CON_JST_PH_2PIN";"JSTPH2";"JST 2-Pin Right-Angle Connector";"";"";"";"";
"X2";"32.768";"XTAL-3.2X1.5";"XTAL3215";"Low cost SMT crystals, no capacitors included";"";"";"";"";
"X3";"";"JTAG-CORTEX";"2X05_1.27MM_SMT";"Serial Wire (SW-DP) Connector";"";"";"";"";
"X5";"";"MICROSD";"MICROSD";"MicroSD/Transflash Card Holder with SPI pinout";"";"";"";"";
"X6";"";"USB_C";"USB_C_CUSB31-CFM2AX-01-X";"USB Type-C USB 2.0 Connector";"";"";"";"";
"Y1";"12mhz";"CRYSTAL2.5X2.0";"CRYSTAL_2.5X2";"Crystals";"";"";"";"";
