"Part";"Value";"Device";"Package";"Description";"BUILT_BY";"COPYRIGHT";"DESIGNER";"MANUFACTURER_PART_NUMBER";"PROD_ID";"SF_ID";"SOURCELIBRARY";"VALUE";"VENDOR";"VERSION";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";"";
"C2";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"";"";"";"CAP-08280";"";"";"4.7uF";"";"";
"C3";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"";"";"";"CAP-08280";"";"";"4.7uF";"";"";
"C4";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";"";
"C5";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";"";
"C6";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"";"";"";"CAP-07881";"";"";"15pF";"";"";
"C7";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"";"";"";"CAP-07881";"";"";"15pF";"";"";
"C8";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"";"10uF";"";"";
"C9";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";"";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";"";
"C11";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";"";
"C12";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"CAP-00867";"";"";"10nF";"";"";
"C13";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";"";
"C15";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"";"";"";"CAP-07886";"";"";"1nF";"";"";
"C16";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"";"";"";"";"CAP-08913";"";"";"47pF";"";"";
"C17";"10pF";"10PF-0603-50V-5%";"0603";"10pF ceramic capacitors";"";"";"";"";"CAP-11812";"";"";"10pF";"";"";
