"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"1uF";"1.0UF-25V-+80/-20(0805)";"0805";"";"CAP-11625";"1.0uF";
"C2";"2.2uF";"2.2UF-25V-+80/-20(0805)";"0805";"";"CAP-11624";"2.2uF";
"C3";"1uF";"1.0UF-25V-+80/-20(0805)";"0805";"";"CAP-11625";"1.0uF";
"C4";"2.2uF";"2.2UF-25V-+80/-20(0805)";"0805";"";"CAP-11624";"2.2uF";
"C5";"1uF";"1.0UF-25V-+80/-20(0805)";"0805";"";"CAP-11625";"1.0uF";
"C6";"2.2uF";"2.2UF-25V-+80/-20(0805)";"0805";"";"CAP-11624";"2.2uF";
"CH1";"";"CONN_023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08399";"";
"CH2";"";"CONN_023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08399";"";
"CH3";"";"CONN_023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08399";"";
"D1";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"DIO-08053";"MBRA140";
"D2";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"DIO-08053";"MBRA140";
"D3";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"DIO-08053";"MBRA140";
"FID1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"JP2";"";"CONN_023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08399";"";
"JP3";"M022.54MM_SCREWTERM";"M022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM@1";"Standard 2-pin 0.1" header. Use with";"";"";
"JP4";"M022.54MM_SCREWTERM";"M022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM@1";"Standard 2-pin 0.1" header. Use with";"";"";
"L1";"33µH/±20%/1.4A";"INDUCTOR-SRN6045-33UH";"SRN6045";"Inductors";"NDUC-11627";"33µH/±20%/1.4A";
"L2";"33µH/±20%/1.4A";"INDUCTOR-SRN6045-33UH";"SRN6045";"Inductors";"NDUC-11627";"33µH/±20%/1.4A";
"L3";"33µH/±20%/1.4A";"INDUCTOR-SRN6045-33UH";"SRN6045";"Inductors";"NDUC-11627";"33µH/±20%/1.4A";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"LOGO2";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";
"R1";"0.3R";"0.3OHM-1/8W-1%(0805)";"0805";"";"RES-11622";"0.3";
"R2";"0.3R";"0.3OHM-1/8W-1%(0805)";"0805";"";"RES-11622";"0.3";
"R3";"0.3R";"0.3OHM-1/8W-1%(0805)";"0805";"";"RES-11622";"0.3";
"R4";"0.3R";"0.3OHM-1/8W-1%(0805)";"0805";"";"RES-11622";"0.3";
"R5";"0.3R";"0.3OHM-1/8W-1%(0805)";"0805";"";"RES-11622";"0.3";
"R6";"0.3R";"0.3OHM-1/8W-1%(0805)";"0805";"";"RES-11622";"0.3";
"SJ1";"JUMPER-SMT_2_NO_NO-SILK";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";
"SJ2";"JUMPER-SMT_2_NO_NO-SILK";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";
"SJ3";"JUMPER-SMT_2_NO_NO-SILK";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";
"U1";"AL8860";"AL8860SOT23";"SOT23-5";"The AL8860 is a buck LED driver that's used on the PicoBuck and FemtoBuck products. It's a replacement for the AL8805 which has gone EOL.";"IC-16593";"";
"U2";"AL8860";"AL8860SOT23";"SOT23-5";"The AL8860 is a buck LED driver that's used on the PicoBuck and FemtoBuck products. It's a replacement for the AL8805 which has gone EOL.";"IC-16593";"";
"U3";"AL8860";"AL8860SOT23";"SOT23-5";"The AL8860 is a buck LED driver that's used on the PicoBuck and FemtoBuck products. It's a replacement for the AL8805 which has gone EOL.";"IC-16593";"";
