"Part";"Value";"Device";"Package";"Description";"BOM";"REV";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C2";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C3";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C4";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";
"C5";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";
"C6";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C7";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C8";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"C";
"C9";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"C10";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";
"C11";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";
"C12";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";
"CHG";"ORANGE";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";
"CONN1";"STEMMA_I2C_QTRA";"STEMMA_I2C_QTRA";"JST_SH4_RA";"";"";"";
"D3";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";
"D4";"MBR540";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";
"DISP1";"DISP_LCD_GENERIC_SPI_1.14IN_240X135_WRAPUNDER";"DISP_LCD_GENERIC_SPI_1.14IN_240X135_WRAPUNDER";"TFT_1.14IN_240X135_WRAPUNDER";"";"";"";
"IC1";"LC709203F/MH";"LC709203F/MH";"WLCSP9";"";"";"";
"IC2";"BME680";"BME680";"BME680";"";"";"";
"JP1";"";"HEADER-1X16_MIN";"1X16_ROUND_MIN";"PIN HEADER";"";"";
"JP3";"";"HEADER-1X12_MIN";"1X12_ROUND_MIN";"";"";"";
"LED1";"WS2812B_SK6805_1515";"WS2812B_SK6805_1515";"SK6805_1515";"";"";"";
"Q1";"BSS138";"MOSFET-NREFLOW";"SOT23-R";"N-Channel Mosfet";"";"";
"Q3";"DMG3415U";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";
"R1";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R2";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R3";"10K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";
"R4";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R5";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R7";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R8";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R10";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R11";"22";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R12";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"R17";"1Meg";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";
"SW1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";
"SW2";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";
