"Part";"Value";"Device";"Package";"Description";"DESIGNER";"DIGIKEY_PART";"PROD_ID";"REV";"VALUE";
"C1";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"CAP-13930";"";"1.0uF";
"C4";"1.0uF";"1.0UF-0603-16V-10%-X7R";"0603";"1µF ceramic capacitors";"";"";"CAP-13930";"";"1.0uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"DIO-00819";"";"RED";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"I2C";"JUMPER-SMT_3_2-NC_TRACE_SILK";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";
"J1";"DNP";"CONN_041X04_NO_SILK";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"CONN-09696";"";"";
"J2";"QWIIC_RA";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"CONN-13694";"";"QWIIC_RIGHT_ANGLE";
"J4";"QWIIC_RA";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"CONN-13694";"";"QWIIC_RIGHT_ANGLE";
"JP1";"FIDUCIAL0.2MM";"FIDUCIAL0.2MM";"FIDUCIAL-0.2MM";"Fiducial Alignment Points";"";"";"";"";"";
"JP2";"FIDUCIAL0.2MM";"FIDUCIAL0.2MM";"FIDUCIAL-0.2MM";"Fiducial Alignment Points";"";"";"";"";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP5";"FIDUCIAL0.2MM";"FIDUCIAL0.2MM";"FIDUCIAL-0.2MM";"Fiducial Alignment Points";"";"";"";"";"";
"JP6";"FIDUCIAL0.2MM";"FIDUCIAL0.2MM";"FIDUCIAL-0.2MM";"Fiducial Alignment Points";"";"";"";"";"";
"JP7";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP8";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"LOGO1";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";"";
"LOGO2";"QWIIC_LOGO_5MM";"QWIIC_LOGO_5MM";"QWIIC_5MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";"";"";
"LOGO3";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";"";"";
"LOGO4";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SparkFun Flame Logo";"";"";"";"";"";
"LOGO5";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"LOGO6";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";"";"";
"PWR";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"R1";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"RES-07857";"";"4.7k";
"R2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"RES-07857";"";"4.7k";
"R3";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"RES-07856";"";"1k";
"R4";"4.7";"4.7OHM-0603-1/10W-1%";"0603";"4.7Ω resistor";"";"";"RES-15581";"";"4.7";
"U1";"SGP40";"SGP40";"SGP40";"The SGP40 is a digital gas sensor designed for easy";"";"1649-SGP40-D-R4CT-ND";"IC-15580";"";"SGP40";
