"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"A4";"";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";
"A5";"";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";
"BAT1";"3V";"BATTERY12MM";"BATTCON_12MM";"Battery Holders";"";"BATT-08044";"";"";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C3";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C4";".1uf";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C5";"2200pf";"2.2NF/2200PF-50V-10%(0603)";"0603-CAP";"CAP-07877";"";"CAP-07877";"2.2nF";"";
"C6";"2200pf";"2.2NF/2200PF-50V-10%(0603)";"0603-CAP";"CAP-07877";"";"CAP-07877";"2.2nF";"";
"C7";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C8";"2200pf";"2.2NF/2200PF-50V-10%(0603)";"0603-CAP";"CAP-07877";"";"CAP-07877";"2.2nF";"";
"C9";"2200pf";"2.2NF/2200PF-50V-10%(0603)";"0603-CAP";"CAP-07877";"";"CAP-07877";"2.2nF";"";
"C10";".1uf";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C11";".1uf";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C12";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"0.1uF";"";
"C13";"10uF";"10UF50V20%(1210)";"1210";"CAP-09824";"";"CAP-09824";"10uF";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";
"FRAME2";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"Josh Datko / Casey Kuhns";"";"";"v10";
"J1";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";"";"";
"JP1";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";"";"";
"JP2";"";"M03PTH";"1X03";"Header 3";"";"";"";"";
"JP3";"";"M06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Header 6";"";"CONN-08437";"";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";"";
"Q1";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";"TRANS-00830";"200mA/50V";"";
"Q2";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";"TRANS-00830";"200mA/50V";"";
"Q3";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";"TRANS-00830";"200mA/50V";"";
"R1";"1k";"1K-1%";"0603-RES";"1k-ohm SMT";"";"RES-07856";"1k";"";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R3";"4.7K";"4.7KOHM1/10W1%(0603)";"0603";"RES-07857";"";"RES-07857";"";"";
"R4";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R5";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R6";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"R7";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"10K";"";
"S2";"Reset";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"SWCH-08247";"";"";
"STAT";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"";"DIO-00821";"GREEN";"";
"U1";"74LVC1G04";"INVERTER_SOT353-5";"SOT353";"Single inverter, SOT23-5";"";"10843";"74LVC1G04";"";
"U2";"33mhz";"33MHZ-OSCILLATOR";"CRYSTAL-OSC-SMD-5X3.2";"Generic 5x3.2 Oscillator";"";"XTAL-11986";"";"";
