"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"STOREFRONT_SKU";"VALUE";
"ADR0";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"ADR1";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"ADR2";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"0.1uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"RED";
"FD1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FD2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"I2C";"JUMPER-SMT_3_2-NC_TRACE_SILK";"JUMPER-SMT_3_2-NC_TRACE_SILK";"SMT-JUMPER_3_2-NC_TRACE_SILK";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";
"INT";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"J1";"";"CONN_04LATCH";"LATCHTERMINAL-5MM-4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CON-14722";"";"PRT-15900";"";
"J2";"QWIIC";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"QWIIC_RIGHT_ANGLE";
"J4";"QWIIC";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"CONN-13694";"";"";"QWIIC_RIGHT_ANGLE";
"J5";"";"CONN_04LATCH";"LATCHTERMINAL-5MM-4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CON-14722";"";"PRT-15900";"";
"J6";"";"CONN_04LATCH";"LATCHTERMINAL-5MM-4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CON-14722";"";"PRT-15900";"";
"J7";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J8";"";"CONN_04LATCH";"LATCHTERMINAL-5MM-4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CON-14722";"";"PRT-15900";"";
"J9";"";"CONN_041X04_NO_SILK";"1X04_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-09696";"";"";"";
"JP2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";
"JP6";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"LOGO1";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"LOGO2";"REVISION";"REVISION";"REVISION";""Revision By" Text";"";"";"";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";
"LOGO4";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SparkFun Flame Logo";"";"";"";"";"";
"PWR";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";
"R1";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"2.2k";
"R2";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"2.2k";
"R3";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"2.2k";
"R4";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"2.2k";
"R5";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"2.2k";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"1k";
"U3";"TCA9534";"TCA9534U";"16SOIC";"Texas Instruments TCA9534 I2C -> GPIO Expander";"";"IC-14889";"";"";"TCA9534";
