"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"VALUE";"VERSION";
"FRAME1";"";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"NAME";"";"";"v01";
"JP1";"";"M04PTH";"1X04";"Header 4";"";"";"";"";
"JP2";"";"M04PTH";"1X04";"Header 4";"";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo";"";"";"";"";
"LOGO2";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME.1_INCH";"SFE_LOGO_FLAME_.1";"SFE Logo, flame only";"";"";"";"";
"Q1";"NPN";"TRANSISTOR_NPNMMBT2222A";"SOT23-3";"Generic NPN BJT";"";"TRANS-08049";"MMBT2222A";"";
"Q2";"NPN";"TRANSISTOR_NPNMMBT2222A";"SOT23-3";"Generic NPN BJT";"";"TRANS-08049";"MMBT2222A";"";
"R1";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"RES-07861";"220";"";
"R2";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"RES-07861";"220";"";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"10k";"";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"10k";"";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"10k";"";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"10k";"";
"U$2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"U$3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"U1";"ILD213T-IDL213T";"ILD213T-IDL213T";"SO08";"Dual Channel Phototransistor Optocoupler";"";"IC-09076";"";"";
