"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"REV";"VALUE";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"RED";
"D2";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"";"DIO-08199";"";"3.6V";
"D3";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"";"DIO-08199";"";"3.6V";
"D4";"3.6V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"Zener Diode";"";"DIO-08199";"";"3.6V";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";
"J1";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J2";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J3";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J4";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J5";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J6";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J7";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"J8";"GATORGATOR_MINI";"GATORGATOR_MINI";"GATOR_MINI";"";"";"";"";"";
"JP2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"JP3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"JP4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";
"JP5";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"JP6";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"JP7";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";
"LOGO1";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";
"Q1";"2.5A/30V/105mΩ";"MOSFET_PCH-DMG2307L";"SOT23-3";"P-channel MOSFETs";"";"TRANS-11308";"";"2.5A/30V/105mΩ";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R3";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"1k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R6";"300k";"300KOHM-0603-1/10W-1%";"0603";"300kΩ resistor";"";"RES-10809";"";"300k";
"U$1";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";
"U$2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";
"U1";"VEML6070";"VEML6070"";"VEML6070";"";"";"SEN-14367";"";"VEML6070";
