"Part";"Value";"Device";"Package";"Description";"BOM";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C4";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C5";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"IC1";"MIC5225-3.3";"LP298XS";"SOT23-5L";"";"";
"IC2";"74LVC245";"74ACT245DW";"SO20W";"Octal BUS TRANSCEIVER, 3-state";"";
"IC3";"74LVC245";"74ACT245DW";"SO20W";"Octal BUS TRANSCEIVER, 3-state";"";
"IC4";"APX803-SAG";"AXP083-SAG";"SOT23";"";"";
"JP1";"";"HEADER-1X20ROUND";"1X20_ROUND";"";"";
"JP2";"";"HEADER-1X20ROUND";"1X20_ROUND";"";"";
"Q2";"BSS138";"MOSFET-NWIDE";"SOT23-WIDE";"N-Channel Mosfet";"";
"Q3";"BSS138";"MOSFET-NWIDE";"SOT23-WIDE";"N-Channel Mosfet";"";
"Q4";"BSS138";"MOSFET-NWIDE";"SOT23-WIDE";"N-Channel Mosfet";"";
"R1";"10";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R2";"10";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R3";"10";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R4";"10";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R5";"2.2K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R6";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R8";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R9";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R10";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R11";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R12";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R13";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R14";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R15";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R16";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"SJ1";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";
"SJ2";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";
"SJ3";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";
"SJ4";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";
"U$7";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"EXCLUDE";
"U$9";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U$10";"2.8" CTP ILI9341";"DISP_LCD_CTP28_SAMPLE";"TFT_2.83IN_240X320_50PIN";"2.83" 240x320 Pixel Capacitive Touch Display";"";
"U$11";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"U$15";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"EXCLUDE";
"U$16";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"EXCLUDE";
"U$17";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"Mounting Hole";"EXCLUDE";
"U$23";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";
"X1";"microSD";"MICROSD";"MICROSD";"MicroSD/Transflash Card Holder with SPI pinout";"";
