"Part";"Value";"Device";"Package";"Description";"";
"C1";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C2";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C3";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"JP2";"M11PTH";"M11PTH";"1X11";"Header 11";"";
"JP3";"M11PTH";"M11PTH";"1X11";"Header 11";"";
"JP4";"";"ARDUINO_SERIAL_PROGRAMPTH";"1X06";"";"";
"LED1";"Red";"LED0603";"LED-0603";"LEDs";"";
"LED2";"Red";"LED0603";"LED-0603";"LEDs";"";
"LED3";"Green";"LED0603";"LED-0603";"LEDs";"";
"LED4";"Green";"LED0603";"LED-0603";"LEDs";"";
"Q1";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"Generic NMOS footprint";"";
"Q2";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"Generic NMOS footprint";"";
"R1";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R3";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R4";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R5";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R6";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R7";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R8";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"R11";"1k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";
"SJ1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"U$1";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";
"U$3";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"U$4";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"U$5";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"U$7";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"U$8";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"CREATIVE_COMMONS";"Creative Commons License summary";"";
"U$9";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"U$10";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"U$11";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";
"U$16";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"U2";"XBEE-1B3";"XBEE-1B3";"XBEE-SMD";"";"";
"U3";"V_REG_LDOSMD";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";
