"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"C1";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"CAP-08604";"";"0.1uF";
"C2";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"CAP-08604";"";"0.1uF";
"C3";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"CAP-09824";"";"10uF";
"C4";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"CAP-09824";"";"10uF";
"D1";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"";"Yellow";
"D2";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"DIO-00821";"";"GREEN";
"D3";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"RED";
"D4";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"";"BLUE";
"D5";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"";"Yellow";
"D6";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"DIO-08575";"";"BLUE";
"D7";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"";"Yellow";
"D8";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"DIO-00821";"";"GREEN";
"D9";"B340A";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"DIO-09886";"";"B340A";
"D10";"B340A";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"DIO-09886";"";"B340A";
"F2";"";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";"";
"F3";"";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";"";
"F4";"";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"RES-11150";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FID4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";
"J1";"5.5x2.1mm Barrel";"POWER_JACKSMD";"POWER_JACK_SMD";"Power Jack Connector";"CONN-08106";"PRT-12748";"5.5x2.1mm Barrel";
"J2";"";"CONN_04SMD_RA_FEMALE";"1X04_SMD_RA_FEMALE";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-12382";"";"";
"J3";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"JP0";"D0";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP1";"D1";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP2";"D2";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP3";"D3";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP4";"D4";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP5";"D5";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP6";"D6";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP7";"D7";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP8";"D8";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP9";"D9";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP10";"D10";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP11";"D11";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP12";"D12";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP13";"D13";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP14";"A0";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP15";"A1";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP16";"A2";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP17";"A3";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP18";"A4";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP19";"A5";"M03LOCK";"1X03_LOCK";"Header 3";"";"";"";
"JP21";"";"M04PTH";"1X04@1";"Header 4";"CONN-09696";"";"";
"JP22";"";"M04LOCK";"1X04_LOCK@1";"Header 4";"CONN-09696";"";"";
"JP23";"";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"JP24";"";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";"";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";"";
"LOGO2";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";
"LOGO3";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME.2_INCH";"SFE_LOGO_FLAME_.2";"SFE Logo, flame only";"";"";"";
"LOGO4";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SFE Logo, name and flame";"";"";"";
"Q1";"MOSFET-NCHANNELBSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"TRANS-00830";"";"200mA/50V";
"Q2";"MOSFET-NCHANNELBSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"TRANS-00830";"";"200mA/50V";
"Q3";"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23-3";"Generic NPN BJT";"TRANS-08049";"";"MMBT2222A";
"Q4";"DMG2307L";"MOSFET-PCHANNELDMG2307L";"SOT23-3";"Generic PMOSFET";"TRANS-11308";"";"2.5A/30V";
"Q5";"DMG2307L";"MOSFET-PCHANNELDMG2307L";"SOT23-3";"Generic PMOSFET";"TRANS-11308";"";"2.5A/30V";
"Q6";"DMG2307L";"MOSFET-PCHANNELDMG2307L";"SOT23-3";"Generic PMOSFET";"TRANS-11308";"";"2.5A/30V";
"R1";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R2";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R3";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R4";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R5";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"RES-00818";"";"330";
"R6";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R8";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R9";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R10";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R11";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R12";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R13";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R14";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"1k";
"R15";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R16";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R17";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"R18";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"10k";
"S1";"";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"SWCH-08179";"";"DPDT";
"S2";"DPDT";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"SWCH-08179";"";"DPDT";
"S3";"";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"SWCH-08179";"";"DPDT";
"S4";"RESET";"TAC_SWITCHSMD";"TACTILE-SWITCH-SMD";"Momentary Switch";"SWCH-08247";"";"TAC_SWITCHSMD";
"SJ5";"";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";
"TP1";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP2";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP3";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP4";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP5";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP6";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP7";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP8";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP9";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP10";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP11";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"TP12";"";"TEST-POINT3X5";"PAD.03X.05";"Bare copper test points for troubleshooting or ICT";"";"";"";
"U1";"XBEE-1XBEE-1_LOCK";"XBEE-1XBEE-1_LOCK";"XBEE-1_LOCK";"Xbee module footprints";"";"";"";
"U2";"ARDUINO";"ARDUINO_R3_SHIELDUNO_R3_SHIELD_NOLABELS_LOCK";"UNO_R3_SHIELD_NOLABELS_LOCK";"Shield form compatible with the Arduino Uno R3.";"";"";"";
"U3";"TB6612FNG";"TB6612FNG";"SSOP24";"Toshiba 1A dual motor driver";"IC-09363";"";"TB6612FNG";
