"Part";"Value";"Device";"Package";"Description";"PLACE";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP1";"USB+SHIELDUSB-A-S-NOSILK-FEMALE";"USB+SHIELDUSB-A-S-NOSILK-FEMALE";"USB-A-S-NOSILK-FEMALE";"USB+Shield";"";
"JP2";"";"M04PTH";"1X04";"Header 4";"";
"LOGO1";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";
"LOGO2";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"LOGO3";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";
"R1";"0";"RESISTOR0603";"0603-RES";"Resistor";"DNP";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
