"Part";"Value";"Device";"Package";"Description";"";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C2";"18pF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C3";"18pF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C4";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C5";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"CN1";"miniB";"USBMINIBLARGE";"USB-MINIB_LARGER";"USB Connectors";"";
"CN3";"JST-PH-3";"JST_3PIN";"JSTPH3";"";"";
"F1";"500mA";"PTCFUSE-1206";"R1206";"PTC fuses, resettable thermistors";"";
"FID1";"FIDUCIAL1X2.5";"FIDUCIAL1X2.5";"FIDUCIAL-1X2.5";"Fiducial Alignment Points";"";
"FID2";"FIDUCIAL1X2.5";"FIDUCIAL1X2.5";"FIDUCIAL-1X2.5";"Fiducial Alignment Points";"";
"IC2";"AT90USB162";"ATMEGA32U2-TQFP";"TQFP32-08";"ATmega32u2";"";
"ISP6";"PINHD-2X3THM";"PINHD-2X3THM";"ISP6";"";"";
"JP1";"CHARLCD";"PINHD-1X18-BIG";"1X18-BIG";"PIN HEADER";"";
"LED";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";
"R1";"22";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R2";"22";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R3";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R5";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R6";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"R7";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";
"T1";"MMBT222";"MMBT2222ALT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";
"T2";"MMBT222";"MMBT2222ALT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";
"T3";"MMBT222";"MMBT2222ALT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";
"U$1";"PINHD-1X10";"PINHD-1X10";"1X10-BIG";"Pin header 1x10 0.1" spacing";"";
"USB";"MALE";"PINHD-1X5";"1X05";"PIN HEADER";"";
"X3";"16MHz";"XTALNX5032";"NX5032";"Low cost SMT crystals, no capacitors included";"";
