"Part";"Value";"Device";"Package";"Description";"";
"ANALOGS";"";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";
"BACKLITE";"";"PINHD-1X1";"1X01";"PIN HEADER";"";
"BTN1";"";"SWITCH_4WAY_TPA511GLFS";"SWITCH_4WAY_TPA511GLFS";"";"";
"C1";"10uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"C2";"10uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"C3";"0.1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"C4";"0.1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"DIGITALS";"";"PINHD-1X8CLEANBIG";"1X08-CLEANBIG";"PIN HEADER";"";
"DIGITALS2";"";"PINHD-1X8CLEANBIG";"1X08-CLEANBIG";"PIN HEADER";"";
"FID1";"FIDUCIAL1X2.5";"FIDUCIAL1X2.5";"FIDUCIAL-1X2.5";"Fiducial Alignment Points";"";
"FID3";"FIDUCIAL1X2.5";"FIDUCIAL1X2.5";"FIDUCIAL-1X2.5";"Fiducial Alignment Points";"";
"IC1";"4050D";"4050D";"SO16";"Hex non-inverting BUFFER";"";
"IC2";"RT9193-33GB";"LP298XS";"SOT23-5L";"";"";
"NAV";"";"PINHD-1X1";"1X01";"PIN HEADER";"";
"POWER";"";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";
"Q1";"2N2222";"MMBT2222ALT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";
"R1";"22 ohm";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"1.0K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"470 ohm";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"220 ohm";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"22 ohm";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R8";"1Kohm";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R9";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"U$1";"JD-T1800";"JD-T1800";"JD-T1800";"";"";
"U$2";"ARDUINOUNO";"ARDUINOUNO";"ARDUINO";"Arduino Diecimila/Duemilanove";"";
"U$3";"MICROSD";"MICROSD";"MICROSD";"Micro-SD / Transflash card holder with SPI pinout";"";
"U$4";"EVQQ2";"EVQQ2";"EVQ-Q2";"SMT 6mm switch, EVQQ2 series";"";
