"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"PROD_ID1";"REV";"SF_SKU";"SPICEPREFIX";"VALUE";"VERSION";
"3V3_EN";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";
"BYP";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"";"0.1uF";"";
"C2";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"10.0µF polarized capacitors";"";"CAP-00811";"";"";"";"";"10uF";"";
"C3";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"CAP-00868";"";"";"";"";"1.0uF";"";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"";"0.1uF";"";
"C5";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"CAP-07822";"";"";"";"";"0.22uF";"";
"C6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"";"0.1uF";"";
"C7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"";"0.1uF";"";
"C12";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"";"";"";"0.1uF";"";
"C13";"0.22uF";"0.22UF-0603-25V-10%";"0603";"0.22µF ceramic capacitors";"";"CAP-07822";"";"";"";"";"0.22uF";"";
"D1";"3.3V";"DIODE-ZENER-MM3Z3V3T1G";"SOD-323";"Zener Diode";"";"DIO-11284";"";"";"";"";"3.3V";"";
